api_category,cpp_class,lua_binding,header_file,primary_methods,notes
Core,Application,g_app,src/framework/core/application.h,"init(),terminate(),exit()","Application lifecycle"
Core,Logger,g_logger,src/framework/core/logger.h,"log(),info(),error(),warning(),debug()","Logging system"
Core,Clock,g_clock,src/framework/core/clock.h,"micros(),millis(),seconds()","Time measurement"
Core,EventDispatcher,g_dispatcher,src/framework/core/eventdispatcher.h,"scheduleEvent(),cycleEvent()","Event scheduling"
Core,ModuleManager,g_modules,src/framework/core/modulemanager.h,"loadModule(),reloadModule()","Module management"
Core,ResourceManager,g_resources,src/framework/core/resourcemanager.h,"fileExists(),readFileContents()","Resource loading"
Core,ConfigManager,g_configs,src/framework/core/configmanager.h,"get(),set(),save()","Configuration management"
Graphics,Graphics,g_graphics,src/framework/graphics/graphics.h,"init(),terminate(),drawTexture()","Graphics rendering"
Graphics,FontManager,g_fonts,src/framework/graphics/fontmanager.h,"getFont(),importFont()","Font management"
Graphics,ShaderManager,g_shaders,src/framework/graphics/shadermanager.h,"getShader(),createShader()","Shader management"
Sound,SoundManager,g_sounds,src/framework/sound/soundmanager.h,"play(),getChannel(),stopAll()","Audio system"
Sound,SoundChannel,SoundChannel,src/framework/sound/soundchannel.h,"play(),setGain(),setEnabled()","Audio channel control"
UI,UIManager,g_ui,src/framework/ui/uimanager.h,"loadUI(),getRootWidget()","UI management"
UI,UIWidget,UIWidget,src/framework/ui/uiwidget.h,"setVisible(),setId(),addChild()","UI widget base"
Network,Protocol,Protocol,src/framework/net/protocol.h,"send(),recv(),connect()","Network protocol"
Network,Connection,Connection,src/framework/net/connection.h,"connect(),disconnect(),send()","Network connection"
Game,Game,g_game,src/client/game.h,"isOnline(),getLocalPlayer(),login()","Game state"
Game,Map,g_map,src/client/map.h,"getTile(),getCreatureById()","Game map"
Game,LocalPlayer,LocalPlayer,src/client/localplayer.h,"getPosition(),getName(),getHealth()","Player character"
Game,Creature,Creature,src/client/creature.h,"getPosition(),getName(),getOutfit()","Game creature"
