symbol,kind,file,line,visibility,notes
Application,class,src/framework/core/application.h,29,public,"Base application class"
GraphicalApplication,class,src/framework/core/graphicalapplication.h,34,public,"Graphical application (extends Application)"
ConsoleApplication,class,src/framework/core/consoleapplication.h,29,public,"Console application (extends Application)"
Logger,class,src/framework/core/logger.h,39,public,"Logging system (@bindsingleton g_logger)"
Clock,class,src/framework/core/clock.h,29,public,"Time management (@bindsingleton g_clock)"
EventDispatcher,class,src/framework/core/eventdispatcher.h,32,public,"Event dispatch system (@bindsingleton g_dispatcher)"
ResourceManager,class,src/framework/core/resourcemanager.h,29,public,"Resource loading (@bindsingleton g_resources)"
ModuleManager,class,src/framework/core/modulemanager.h,29,public,"Module management (@bindsingleton g_modules)"
ConfigManager,class,src/framework/core/configmanager.h,29,public,"Configuration system (@bindsingleton g_configs)"
Module,class,src/framework/core/module.h,32,public,"Module base class (@bindclass)"
Config,class,src/framework/core/config.h,32,public,"Configuration object (@bindclass)"
Event,class,src/framework/core/event.h,29,public,"Event base class (@bindclass)"
ScheduledEvent,class,src/framework/core/scheduledevent.h,31,public,"Scheduled event (@bindclass)"
FileStream,class,src/framework/core/filestream.h,34,public,"File I/O (@bindclass)"
BinaryTree,class,src/framework/core/binarytree.h,35,public,"Binary tree structure"
InputMessage,class,src/framework/net/inputmessage.h,~30,public,"Network input message (@bindclass)"
OutputMessage,class,src/framework/net/outputmessage.h,~30,public,"Network output message (@bindclass)"
Protocol,class,src/framework/net/protocol.h,~30,public,"Network protocol (@bindclass)"
Connection,class,src/framework/net/connection.h,~30,public,"Network connection"
SoundManager,class,src/framework/sound/soundmanager.h,32,public,"Audio system (@bindsingleton g_sounds)"
SoundChannel,class,src/framework/sound/soundchannel.h,31,public,"Audio channel (@bindclass)"
SoundSource,class,src/framework/sound/soundsource.h,~30,public,"Audio source"
UIManager,class,src/framework/ui/uimanager.h,~30,public,"UI management (@bindsingleton g_ui)"
UIWidget,class,src/framework/ui/uiwidget.h,~30,public,"UI widget base (@bindclass)"
UILayout,class,src/framework/ui/uilayout.h,~30,public,"UI layout (@bindclass)"
Graphics,class,src/framework/graphics/graphics.h,~30,public,"Graphics system (@bindsingleton g_graphics)"
ShaderProgram,class,src/framework/graphics/shaderprogram.h,~30,public,"Shader program (@bindclass)"
FontManager,class,src/framework/graphics/fontmanager.h,~30,public,"Font management (@bindsingleton g_fonts)"
Game,class,src/client/game.h,~30,public,"Game state (@bindsingleton g_game)"
Map,class,src/client/map.h,~30,public,"Game map (@bindsingleton g_map)"
Creature,class,src/client/creature.h,38,public,"Creature entity"
Item,class,src/client/item.h,~30,public,"Item entity"
Thing,class,src/client/thing.h,~30,public,"Base game entity"
LocalPlayer,class,src/client/localplayer.h,~30,public,"Local player"
