cppclass,luaclass,func,ret,args,kind
Logger,g_logger,log,"void","level,message",singleton
Logger,g_logger,info,"void",message,singleton
Logger,g_logger,error,"void",message,singleton
Logger,g_logger,warning,"void",message,singleton
Logger,g_logger,debug,"void",message,singleton
Logger,g_logger,setOnLog,"void",callback,singleton
Logger,g_logger,getLastLog,string,none,singleton
SoundManager,g_sounds,play,SoundSourcePtr,"filename,fadetime,gain",singleton
SoundManager,g_sounds,getChannel,SoundChannelPtr,channel_id,singleton
SoundManager,g_sounds,setAudioEnabled,"void",enabled,singleton
SoundManager,g_sounds,stopAll,"void",none,singleton
ResourceManager,g_resources,fileExists,bool,filename,singleton
ResourceManager,g_resources,readFileContents,string,filename,singleton
ResourceManager,g_resources,writeFileContents,"bool","filename,contents",singleton
Application,g_app,exit,"void",none,singleton
Application,g_app,setName,"void",name,singleton
Application,g_app,getName,string,none,singleton
PlatformWindow,g_window,setTitle,"void",title,singleton
PlatformWindow,g_window,setSize,"void","width,height",singleton
PlatformWindow,g_window,getDisplaySize,Size,none,singleton
Game,g_game,isOnline,bool,none,singleton
Game,g_game,getLocalPlayer,LocalPlayerPtr,none,singleton
Game,g_game,login,"void","account,password,character",singleton
Game,g_game,logout,"void",force,singleton
Map,g_map,getTile,TilePtr,position,singleton
Map,g_map,getCreatureById,CreaturePtr,id,singleton
UIWidget,UIWidget,setId,"void",id,class
UIWidget,UIWidget,getId,string,none,class
UIWidget,UIWidget,setVisible,"void",visible,class
UIWidget,UIWidget,isVisible,bool,none,class
SoundChannel,SoundChannel,play,SoundSourcePtr,"filename,fadetime,gain",class
SoundChannel,SoundChannel,setGain,"void",gain,class
SoundChannel,SoundChannel,getGain,float,none,class
SoundChannel,SoundChannel,setEnabled,"void",enabled,class
