lua_function,cpp_class,cpp_method,binding_file,binding_line,return_type,notes
g_sounds.play,SoundManager,play,src/framework/luaengine/luavaluecasts.h,~850,SoundSourcePtr,"@bindsingleton binding"
g_sounds.getChannel,SoundManager,getChannel,src/framework/luaengine/luavaluecasts.h,~850,SoundChannelPtr,"Channel by ID (1-4)"
g_logger.info,Logger,info,src/framework/luaengine/luavaluecasts.h,~600,void,"@bindsingleton binding"
g_logger.error,Logger,error,src/framework/luaengine/luavaluecasts.h,~600,void,"Error level logging"
g_logger.setOnLog,Logger,setOnLog,src/framework/luaengine/luavaluecasts.h,~600,void,"Custom log callback"
g_window.setTitle,Application,setTitle,src/framework/luaengine/luavaluecasts.h,~400,void,"Window title control"
g_window.getDisplaySize,Application,getDisplaySize,src/framework/luaengine/luavaluecasts.h,~400,Size,"Screen resolution"
g_resources.fileExists,ResourceManager,fileExists,src/framework/luaengine/luavaluecasts.h,~700,bool,"Check file existence"
g_resources.readFileContents,ResourceManager,readFileContents,src/framework/luaengine/luavaluecasts.h,~700,string,"Read file contents"
g_textures.getTexture,TextureManager,getTexture,src/framework/luaengine/luavaluecasts.h,~750,TexturePtr,"Load/get texture"
g_sprites.getSpriteBuffer,SpriteManager,getSpriteBuffer,src/framework/luaengine/luavaluecasts.h,~800,FrameBufferPtr,"Get sprite frame buffer"
g_game.isOnline,Game,isOnline,src/client/luafunctions.cpp,~100,bool,"Check connection status"
g_game.getLocalPlayer,Game,getLocalPlayer,src/client/luafunctions.cpp,~120,LocalPlayerPtr,"Get player instance"
g_map.getTile,Map,getTile,src/client/luafunctions.cpp,~300,TilePtr,"Get map tile at position"
