module,function,params,returns,raises,availability,notes
game_skills,init,none,none,none,startup,"Initialize skills window"
game_skills,terminate,none,none,none,shutdown,"Cleanup skills window"
game_skills,expForLevel,level,exp_required,none,runtime,"Calculate experience needed for level"
game_skills,setSkillValue,"id, value",none,none,runtime,"Update skill value display"
game_skills,setSkillPercent,"id, percent, tooltip, color",none,none,runtime,"Update skill progress bar"
game_skills,refresh,none,none,none,runtime,"Refresh all skill displays"
client_options,init,none,none,none,startup,"Initialize options interface"
client_options,toggle,none,none,none,runtime,"Toggle options window visibility"
client_options,setOption,"key, value, force",none,none,runtime,"Set configuration option"
client_options,getOption,key,value,none,runtime,"Get configuration option value"
client_options,addTab,"name, panel, icon",none,none,init,"Add custom options tab"
client_options,addButton,"name, func, icon",none,none,init,"Add custom button to options"
game_inventory,init,none,none,none,startup,"Initialize inventory window"
game_inventory,toggle,none,none,none,runtime,"Toggle inventory window"
game_inventory,refresh,none,none,none,runtime,"Refresh inventory display"
client_terminal,init,none,none,none,startup,"Initialize terminal console"
client_terminal,addCommand,"name, desc, callback, completer",none,none,init,"Register terminal command"
client_terminal,executeCommand,commandLine,result,error,runtime,"Execute terminal command"
game_bot,init,none,none,none,startup,"Initialize bot system"
game_bot,isEnabled,none,boolean,none,runtime,"Check if bot is enabled"
game_bot,setEnabled,enabled,none,none,runtime,"Enable/disable bot"
game_bot,refresh,none,none,none,runtime,"Refresh bot UI"
corelib,dofile,filename,none,error,runtime,"Load and execute Lua file"
corelib,loadfile,filename,function,error,runtime,"Load Lua file without executing"
corelib,sendOpcode,"opcode, msg",none,error,runtime,"Send protocol opcode"
gamelib,connect,"host, port, callback",none,error,runtime,"Connect to game server"
gamelib,login,"account, password, character",none,error,runtime,"Perform login sequence"
