module,path,lua_files,otui_files,has_otmod,total_lines,notes
client,modules/client,1,0,yes,125,
client_background,modules/client_background,1,1,no,49,
client_entergame,modules/client_entergame,2,3,no,1030,
client_feedback,modules/client_feedback,1,1,no,109,
client_locales,modules/client_locales,2,1,no,541,
client_mobile,modules/client_mobile,1,1,no,216,
client_options,modules/client_options,1,7,no,430,
client_profiles,modules/client_profiles,1,0,no,160,
client_stats,modules/client_stats,1,1,no,220,
client_styles,modules/client_styles,1,0,no,58,
client_terminal,modules/client_terminal,2,1,no,475,
client_textedit,modules/client_textedit,1,1,no,166,
client_topmenu,modules/client_topmenu,1,0,no,284,
corelib,modules/corelib,20,0,yes,2837,
crash_reporter,modules/crash_reporter,1,0,yes,22,
game_actionbar,modules/game_actionbar,1,6,no,1178,
game_battle,modules/game_battle,1,2,no,458,
game_bot,modules/game_bot,2,2,no,1222,
game_bugreport,modules/game_bugreport,1,1,no,36,
game_buttons,modules/game_buttons,1,1,no,49,
game_console,modules/game_console,1,4,no,1524,
game_containers,modules/game_containers,1,0,no,233,
game_cooldown,modules/game_cooldown,1,1,no,226,
game_features,modules/game_features,1,0,no,200,
game_healthinfo,modules/game_healthinfo,1,1,no,314,
game_hotkeys,modules/game_hotkeys,2,1,no,827,
game_imbuing,modules/game_imbuing,1,1,no,313,
game_interface,modules/game_interface,1,1,no,1189,
game_inventory,modules/game_inventory,1,1,no,487,
game_itemselector,modules/game_itemselector,1,1,no,74,
game_market,modules/game_market,4,1,no,1970,
game_minimap,modules/game_minimap,1,2,no,164,
game_modaldialog,modules/game_modaldialog,1,1,no,136,
game_npctrade,modules/game_npctrade,1,1,no,588,
game_outfit,modules/game_outfit,1,1,no,1323,
game_playerdeath,modules/game_playerdeath,1,1,no,86,
game_playermount,modules/game_playermount,1,0,no,48,
game_playertrade,modules/game_playertrade,1,1,no,81,
game_prey,modules/game_prey,1,1,no,541,
game_protocol,modules/game_protocol,1,0,no,714,
game_questlog,modules/game_questlog,1,1,no,288,
game_ruleviolation,modules/game_ruleviolation,1,1,no,151,
game_shaders,modules/game_shaders,1,0,no,25,
game_shop,modules/game_shop,1,2,no,618,
game_skills,modules/game_skills,1,1,no,437,
game_spelllist,modules/game_spelllist,1,1,no,390,
game_stats,modules/game_stats,1,1,no,58,
game_textmessage,modules/game_textmessage,1,1,no,135,
game_textwindow,modules/game_textwindow,1,1,no,144,
game_things,modules/game_things,1,0,no,54,
game_topbar,modules/game_topbar,1,1,no,505,
game_unjustifiedpoints,modules/game_unjustifiedpoints,1,1,no,148,
game_viplist,modules/game_viplist,1,3,no,426,
game_walking,modules/game_walking,1,0,no,433,
gamelib,modules/gamelib,13,0,yes,2292,
updater,modules/updater,1,1,yes,278,
