widget,signal,args,connected_to,notes
Button,@onClick,self,modules.game_questlog.toggle(),"Toggle quest log window"
Button,@onClick,self,g_game.requestQuestLog(),"Request quest log from server"
Button,@onClick,self,g_game.acceptTrade(),"Accept trade offer"
Button,@onClick,self,g_game.rejectTrade(),"Reject trade offer"
Button,@onClick,self,modules.game_hotkeys.addHotkey(),"Add new hotkey"
Button,@onClick,self,modules.game_hotkeys.removeHotkey(),"Remove selected hotkey"
Button,@onClick,self,modules.game_hotkeys.startChooseItem(),"Start item selection mode"
TextEdit,@onTextChange,text,modules.game_hotkeys.onHotkeyTextChange(),"Handle hotkey text input"
Button,@onClick,self,modules.game_shop.showHistory(),"Show purchase history"
Button,@onClick,self,modules.game_shop.transferCoins(),"Transfer coins to character"
Button,@onClick,self,modules.game_actionbar.moveActionButtons(),"Move action bar buttons"
CheckBox,@onClick,self,modules.game_questlog.onTrackOptionChange(),"Toggle quest tracking"
Button,@onClick,self,modules.game_spelllist.toggle(),"Toggle spell list window"
Button,@onClick,self,modules.game_imbuing.hide(),"Hide imbuing window"
MiniWindow,@onClose,none,modules.*.onClose(),"Window close handler (generic)"
UIWidget,@onHoverChange,hovered,modules.*.onHover(),"Widget hover state change"
TextEdit,@onFocusChange,focused,modules.*.onFocus(),"Text field focus change"
Button,@onDoubleClick,self,modules.*.onDoubleClick(),"Button double-click handler"

