otui_file,widget_id,property,asset_path,asset_type,notes
modules/game_questlog/questlogwindow.otui,questLogButton,icon,/images/topbuttons/questlog.png,image,"Quest log button icon"
modules/game_spelllist/spelllist.otui,spelllistWindow,icon,/images/topbuttons/spelllist.png,image,"Spell list button icon"
modules/game_inventory/inventory.otui,inventoryWindow,icon,/images/topbuttons/inventory.png,image,"Inventory button icon"
modules/game_skills/skills.otui,skillsWindow,icon,/images/topbuttons/skills.png,image,"Skills button icon"
modules/game_battle/battle.otui,battleWindow,icon,/images/topbuttons/battle.png,image,"Battle list button icon"
modules/game_hotkeys/hotkeys_manager.otui,hotkeysWindow,background,/images/ui/panel_flat.png,image,"Window background"
modules/client_options/options.otui,optionsWindow,icon,/images/topbuttons/options.png,image,"Options button icon"
modules/game_console/console.otui,consolePanel,background,/images/ui/panel_flat.png,image,"Console background"
modules/game_shop/shop.otui,shopWindow,icon,/images/topbuttons/shop.png,image,"Shop button icon"
modules/game_outfit/outfitwindow.otui,outfitWindow,icon,/images/topbuttons/outfit.png,image,"Outfit button icon"
modules/client_styles/styles.otui,Button,font,verdana-11px-antialised,font,"Default button font"
modules/client_styles/styles.otui,Label,font,verdana-11px-rounded,font,"Default label font"
modules/client_styles/styles.otui,TextEdit,font,terminus-14px-bold,font,"Text edit font"
modules/game_interface/gameinterface.otui,gameMapPanel,background,/images/game/background.png,image,"Game map background"
