path,type,extension,size_bytes,used_by_layouts,used_by_otui,notes
styles/10-comboboxes.otui,styles,otui,2092,[],[],
styles/10-items.otui,styles,otui,172,[],[],
styles/10-separators.otui,styles,otui,284,[],[],
styles/10-checkboxes.otui,styles,otui,1270,[],[],
styles/30-inputboxes.otui,styles,otui,657,[],[],
styles/40-entergame.otui,styles,otui,76,[],[],
styles/20-popupmenus.otui,styles,otui,1555,[],[],
styles/40-container.otui,styles,otui,1363,[],[],
styles/10-scrollbars.otui,styles,otui,2229,[],[],
styles/20-smallscrollbar.otui,styles,otui,1283,[],[],
styles/30-messageboxes.otui,styles,otui,327,[],[],
styles/40-inventory.otui,styles,otui,7110,[],[],
styles/40-outfitwindow.otui,styles,otui,16533,[],[],
styles/40-console.otui,styles,otui,4237,[],[],
styles/10-creatures.otui,styles,otui,182,[],[],
styles/10-textedits.otui,styles,otui,456,[],[],
styles/10-labels.otui,styles,otui,383,[],[],
styles/40-healthinfo.otui,styles,otui,3222,[],[],
styles/20-imageview.otui,styles,otui,132,[],[],
styles/10-listboxes.otui,styles,otui,393,[],[],
styles/10-creaturebuttons.otui,styles,otui,920,[],[],
styles/40-tilewidget.otui,styles,otui,41,[],[],
styles/10-splitters.otui,styles,otui,150,[],[],
styles/20-spinboxes.otui,styles,otui,650,[],[],
styles/30-miniwindow.otui,styles,otui,2500,[],[],
styles/10-windows.otui,styles,otui,602,[],[],
styles/40-minimap.otui,styles,otui,5630,[],[],
styles/10-panels.otui,styles,otui,376,[],[],
styles/40-gamebuttons.otui,styles,otui,44,[],[],
styles/10-buttons.otui,styles,otui,1972,[],[],
styles/20-tabbars.otui,styles,otui,2568,[],[],
styles/20-tables.otui,styles,otui,1166,[],[],
styles/10-progressbars.otui,styles,otui,728,[],[],
styles/20-topmenu.otui,styles,otui,2403,[],[],
fonts/verdana-11px-antialised_cp1252.png,fonts,png,10035,[],[],
fonts/verdana-9px-italic.png,fonts,png,3090,[],[],
fonts/verdana-11px-rounded_cp1252.png,fonts,png,9963,[],[],
fonts/verdana-11px-antialised_cp1250.png,fonts,png,9537,[],[],
fonts/cipsoftFont.png,fonts,png,14320,[],[],
fonts/terminus-10px.png,fonts,png,3173,[],[],
fonts/cipsoftFont.otfont,fonts,otfont,95,[],[],
fonts/terminus-14px-bold.otfont,fonts,otfont,149,[],[],
fonts/verdana-9px-bold.png,fonts,png,3156,[],[],
fonts/verdana-11px-rounded.otfont,fonts,otfont,155,[],[],
fonts/verdana-9px-bold.otfont,fonts,otfont,124,[],[],
fonts/verdana-9px-italic.otfont,fonts,otfont,112,[],[],
fonts/verdana-11px-antialised.otfont,fonts,otfont,145,[],[],
fonts/verdana-11px-monochrome.otfont,fonts,otfont,129,[],[],
fonts/verdana-11px-monochrome_cp1250.png,fonts,png,3782,[],[],
fonts/terminus-14px-bold.png,fonts,png,3860,[],[],
fonts/small-9px.png,fonts,png,2825,[],[],
fonts/verdana-9px.otfont,fonts,otfont,114,[],[],
fonts/small-9px.otfont,fonts,otfont,106,[],[],
fonts/terminus-10px.otfont,fonts,otfont,139,[],[],
fonts/verdana-9px.png,fonts,png,2897,[],[],
fonts/sans-bold-16px.otfont,fonts,otfont,111,[],[],
fonts/verdana-11px-rounded_cp1250.png,fonts,png,6141,[],[],
fonts/verdana-11px-monochrome_cp1252.png,fonts,png,3645,[],[],
fonts/sans-bold-16px_cp1252.png,fonts,png,17377,[],[],
locales/sv.lua,locales,lua,17580,[],[],
locales/pl.lua,locales,lua,20091,[],[],
locales/pt.lua,locales,lua,21602,[],[],
locales/es.lua,locales,lua,21143,[],[],
locales/en.lua,locales,lua,297,[],[],
locales/de.lua,locales,lua,16830,[],[],
sounds/Player_Detected.ogg,sounds,ogg,8461,[],[],
sounds/magnum.ogg,sounds,ogg,52698,[],[],
sounds/alarm.ogg,sounds,ogg,118635,[],[],
sounds/Player_Attack.ogg,sounds,ogg,7524,[],[],
sounds/Low_Mana.ogg,sounds,ogg,6713,[],[],
sounds/Low_Health.ogg,sounds,ogg,6433,[],[],
sounds/Creature_Detected.ogg,sounds,ogg,8348,[],[],
sounds/Private_Message.ogg,sounds,ogg,8047,[],[],
images/clienticon.png,images,png,518,[],[],
images/background.png,images,png,453074,[],[],
images/loading.png,images,png,28487,[],[],
images/topbuttons/motd.png,images,png,331,[],[],
