module,path,manifest,dependencies,exports,assets,ui_roots,entry_lua,notes
game_questlog,modules/game_questlog,questlog.otmod,[],[],[],"[""modules/game_questlog/questlogwindow.otui""]",modules/game_questlog/questlog.lua,
game_spelllist,modules/game_spelllist,spelllist.otmod,[],[],[],"[""modules/game_spelllist/spelllist.otui""]",modules/game_spelllist/spelllist.lua,
client_locales,modules/client_locales,locales.otmod,[],[],[],"[""modules/client_locales/locales.otui""]",modules/client_locales/locales.lua,
game_containers,modules/game_containers,containers.otmod,[],[],[],[],modules/game_containers/containers.lua,
game_playertrade,modules/game_playertrade,playertrade.otmod,[],[],[],"[""modules/game_playertrade/tradewindow.otui""]",modules/game_playertrade/playertrade.lua,
game_imbuing,modules/game_imbuing,imbuing.otmod,[],[],[],"[""modules/game_imbuing/imbuing.otui""]",modules/game_imbuing/imbuing.lua,
crash_reporter,modules/crash_reporter,crash_reporter.otmod,[],[],[],[],modules/crash_reporter/crash_reporter.lua,
client_mobile,modules/client_mobile,mobile.otmod,[],[],[],"[""modules/client_mobile/mobile.otui""]",modules/client_mobile/mobile.lua,
game_outfit,modules/game_outfit,outfit.otmod,[],[],[],"[""modules/game_outfit/outfitwindow.otui""]",modules/game_outfit/outfit.lua,
client_topmenu,modules/client_topmenu,topmenu.otmod,[],[],[],[],modules/client_topmenu/topmenu.lua,
game_itemselector,modules/game_itemselector,itemselector.otmod,[],[],[],"[""modules/game_itemselector/itemselector.otui""]",modules/game_itemselector/itemselector.lua,
game_hotkeys,modules/game_hotkeys,hotkeys_manager.otmod,[],[],[],"[""modules/game_hotkeys/hotkeys_manager.otui""]",modules/game_hotkeys/hotkeys_extra.lua,
game_shaders,modules/game_shaders,shaders.otmod,[],[],[],[],modules/game_shaders/shaders.lua,
game_textwindow,modules/game_textwindow,textwindow.otmod,[],[],[],"[""modules/game_textwindow/textwindow.otui""]",modules/game_textwindow/textwindow.lua,
updater,modules/updater,updater.otmod,[],[],[],"[""modules/updater/updater.otui""]",modules/updater/updater.lua,
game_shop,modules/game_shop,shop.otmod,[],[],[],"[""modules/game_shop/shop.otui"", ""modules/game_shop/transfer.otui""]",modules/game_shop/shop.lua,
game_protocol,modules/game_protocol,protocol.otmod,[],[],[],[],modules/game_protocol/protocol.lua,
game_battle,modules/game_battle,battle.otmod,[],[],[],"[""modules/game_battle/battlebutton.otui"", ""modules/game_battle/battle.otui""]",modules/game_battle/battle.lua,
game_actionbar,modules/game_actionbar,actionbar.otmod,[],[],[],"[""modules/game_actionbar/actionbar.otui"", ""modules/game_actionbar/hotkey.otui"", ""modules/game_actionbar/object.otui"", ""modules/game_actionbar/text.otui"", ""modules/game_actionbar/spell.otui""]",modules/game_actionbar/actionbar.lua,
game_features,modules/game_features,features.otmod,[],[],[],[],modules/game_features/features.lua,
game_buttons,modules/game_buttons,buttons.otmod,[],[],[],"[""modules/game_buttons/buttons.otui""]",modules/game_buttons/buttons.lua,
game_skills,modules/game_skills,skills.otmod,[],[],[],"[""modules/game_skills/skills.otui""]",modules/game_skills/skills.lua,
client_feedback,modules/client_feedback,feedback.otmod,[],[],[],"[""modules/client_feedback/feedback.otui""]",modules/client_feedback/feedback.lua,
game_interface,modules/game_interface,interface.otmod,[],[],[],"[""modules/game_interface/gameinterface.otui"", ""modules/game_interface/styles/countwindow.otui""]",modules/game_interface/gameinterface.lua,
client_options,modules/client_options,options.otmod,[],[],[],"[""modules/client_options/console.otui"", ""modules/client_options/options.otui"", ""modules/client_options/graphics.otui"", ""modules/client_options/custom.otui"", ""modules/client_options/interface.otui""]",modules/client_options/options.lua,
game_playerdeath,modules/game_playerdeath,playerdeath.otmod,[],[],[],"[""modules/game_playerdeath/deathwindow.otui""]",modules/game_playerdeath/playerdeath.lua,
client_background,modules/client_background,background.otmod,[],[],[],"[""modules/client_background/background.otui""]",modules/client_background/background.lua,
game_cooldown,modules/game_cooldown,cooldown.otmod,[],[],[],"[""modules/game_cooldown/cooldown.otui""]",modules/game_cooldown/cooldown.lua,
game_ruleviolation,modules/game_ruleviolation,ruleviolation.otmod,[],[],[],"[""modules/game_ruleviolation/ruleviolation.otui""]",modules/game_ruleviolation/ruleviolation.lua,
game_minimap,modules/game_minimap,minimap.otmod,[],[],[],"[""modules/game_minimap/minimap.otui"", ""modules/game_minimap/flagwindow.otui""]",modules/game_minimap/minimap.lua,
client,modules/client,client.otmod,[],[],[],[],modules/client/client.lua,
game_things,modules/game_things,things.otmod,[],[],[],[],modules/game_things/things.lua,
client_styles,modules/client_styles,styles.otmod,[],[],[],[],modules/client_styles/styles.lua,
game_healthinfo,modules/game_healthinfo,healthinfo.otmod,[],[],[],"[""modules/game_healthinfo/healthinfo.otui""]",modules/game_healthinfo/healthinfo.lua,
game_viplist,modules/game_viplist,viplist.otmod,[],[],[],"[""modules/game_viplist/viplist.otui"", ""modules/game_viplist/editvip.otui"", ""modules/game_viplist/addvip.otui""]",modules/game_viplist/viplist.lua,
corelib,modules/corelib,corelib.otmod,[],[],[],[],modules/corelib/table.lua,
client_profiles,modules/client_profiles,profiles.otmod,[],[],[],[],modules/client_profiles/profiles.lua,
game_inventory,modules/game_inventory,inventory.otmod,[],[],[],"[""modules/game_inventory/inventory.otui""]",modules/game_inventory/inventory.lua,
game_unjustifiedpoints,modules/game_unjustifiedpoints,unjustifiedpoints.otmod,[],[],[],"[""modules/game_unjustifiedpoints/unjustifiedpoints.otui""]",modules/game_unjustifiedpoints/unjustifiedpoints.lua,
game_console,modules/game_console,console.otmod,[],[],[],"[""modules/game_console/console.otui"", ""modules/game_console/communicationwindow.otui"", ""modules/game_console/channelswindow.otui"", ""modules/game_console/violationwindow.otui""]",modules/game_console/console.lua,
game_bugreport,modules/game_bugreport,bugreport.otmod,[],[],[],"[""modules/game_bugreport/bugreport.otui""]",modules/game_bugreport/bugreport.lua,
gamelib,modules/gamelib,gamelib.otmod,[],[],[],[],modules/gamelib/textmessages.lua,
game_prey,modules/game_prey,prey.otmod,[],[],[],"[""modules/game_prey/prey.otui""]",modules/game_prey/prey.lua,
game_playermount,modules/game_playermount,playermount.otmod,[],[],[],[],modules/game_playermount/playermount.lua,
client_entergame,modules/client_entergame,entergame.otmod,[],[],[],"[""modules/client_entergame/entergame.otui"", ""modules/client_entergame/characterlist.otui"", ""modules/client_entergame/waitinglist.otui""]",modules/client_entergame/characterlist.lua,
game_market,modules/game_market,market.otmod,[],[],[],"[""modules/game_market/market.otui"", ""modules/game_market/ui/marketoffers.otui"", ""modules/game_market/ui/myoffers.otui"", ""modules/game_market/ui/myoffers/itemoffers.otui"", ""modules/game_market/ui/myoffers/offerhistory.otui""]",modules/game_market/marketoffer.lua,
game_npctrade,modules/game_npctrade,npctrade.otmod,[],[],[],"[""modules/game_npctrade/npctrade.otui""]",modules/game_npctrade/npctrade.lua,
game_topbar,modules/game_topbar,topbar.otmod,[],[],[],"[""modules/game_topbar/topbar.otui""]",modules/game_topbar/topbar.lua,
client_terminal,modules/client_terminal,terminal.otmod,[],[],[],"[""modules/client_terminal/terminal.otui""]",modules/client_terminal/terminal.lua,
game_walking,modules/game_walking,walking.otmod,[],[],[],[],modules/game_walking/walking.lua,
client_stats,modules/client_stats,stats.otmod,[],[],[],"[""modules/client_stats/stats.otui""]",modules/client_stats/stats.lua,
client_textedit,modules/client_textedit,textedit.otmod,[],[],[],"[""modules/client_textedit/textedit.otui""]",modules/client_textedit/textedit.lua,
game_stats,modules/game_stats,stats.otmod,[],[],[],"[""modules/game_stats/stats.otui""]",modules/game_stats/stats.lua,
game_bot,modules/game_bot,bot.otmod,[],[],[],"[""modules/game_bot/bot.otui"", ""modules/game_bot/edit.otui"", ""modules/game_bot/ui/basic.otui"", ""modules/game_bot/ui/panels.otui"", ""modules/game_bot/ui/config.otui""]",modules/game_bot/functions/main.lua,
game_modaldialog,modules/game_modaldialog,modaldialog.otmod,[],[],[],"[""modules/game_modaldialog/modaldialog.otui""]",modules/game_modaldialog/modaldialog.lua,
game_textmessage,modules/game_textmessage,textmessage.otmod,[],[],[],"[""modules/game_textmessage/textmessage.otui""]",modules/game_textmessage/textmessage.lua,
