filename,path,extension,size_bytes,notes
otclient.vcxproj.filters,vc16/otclient.vcxproj.filters,filters,48880,
settings.props,vc16/settings.props,props,2186,
otclient.sln,vc16/otclient.sln,sln,1462,
otclient.vcxproj,vc16/otclient.vcxproj,vcxproj,79528,
export.h,vc16/angle/include/export.h,h,1285,
angle_gl.h,vc16/angle/include/angle_gl.h,h,753,
angle_windowsstore.h,vc16/angle/include/angle_windowsstore.h,h,2294,
libEGL.dll,vc16/angle/lib/libEGL.dll,dll,112128,
libGLESv2.dll,vc16/angle/lib/libGLESv2.dll,dll,6284800,
libEGL.dll.lib,vc16/angle/lib/libEGL.dll.lib,lib,21780,
libGLESv2.dll.lib,vc16/angle/lib/libGLESv2.dll.lib,lib,884046,
eglext_angle.h,vc16/angle/include/EGL/eglext_angle.h,h,14027,
eglplatform.h,vc16/angle/include/EGL/eglplatform.h,h,6053,
.clang-format,vc16/angle/include/EGL/.clang-format,,22,
egl.h,vc16/angle/include/EGL/egl.h,h,20345,
eglext.h,vc16/angle/include/EGL/eglext.h,h,65912,
gl32.h,vc16/angle/include/GLES3/gl32.h,h,128343,
gl31ext_explicit_context_autogen.inc,vc16/angle/include/GLES3/gl31ext_explicit_context_autogen.inc,inc,20407,
gl3.h,vc16/angle/include/GLES3/gl3.h,h,82674,
gl31.h,vc16/angle/include/GLES3/gl31.h,h,107463,
gl3platform.h,vc16/angle/include/GLES3/gl3platform.h,h,909,
.clang-format,vc16/angle/include/GLES3/.clang-format,,22,
gl32ext_explicit_context_autogen.inc,vc16/angle/include/GLES3/gl32ext_explicit_context_autogen.inc,inc,13171,
gl3ext_explicit_context_autogen.inc,vc16/angle/include/GLES3/gl3ext_explicit_context_autogen.inc,inc,29032,
README.md,vc16/angle/include/GLES/README.md,md,1373,
glplatform.h,vc16/angle/include/GLES/glplatform.h,h,1152,
.clang-format,vc16/angle/include/GLES/.clang-format,,22,
glext_explicit_context_autogen.inc,vc16/angle/include/GLES/glext_explicit_context_autogen.inc,inc,28720,
glext.h,vc16/angle/include/GLES/glext.h,h,53493,
egl.h,vc16/angle/include/GLES/egl.h,h,922,
gl.h,vc16/angle/include/GLES/gl.h,h,44832,
glext_angle.h,vc16/angle/include/GLES/glext_angle.h,h,733,
wgl.h,vc16/angle/include/WGL/wgl.h,h,50304,
.clang-format,vc16/angle/include/WGL/.clang-format,,22,
Platform.h,vc16/angle/include/platform/Platform.h,h,16280,
FeaturesMtl.h,vc16/angle/include/platform/FeaturesMtl.h,h,1851,
FeaturesD3D.h,vc16/angle/include/platform/FeaturesD3D.h,h,13052,
FeaturesGL.h,vc16/angle/include/platform/FeaturesGL.h,h,25853,
FrontendFeatures.h,vc16/angle/include/platform/FrontendFeatures.h,h,2474,
Feature.h,vc16/angle/include/platform/Feature.h,h,5435,
FeaturesVk.h,vc16/angle/include/platform/FeaturesVk.h,h,16316,
vulkan_fuchsia_ext.h,vc16/angle/include/vulkan/vulkan_fuchsia_ext.h,h,5057,
khrplatform.h,vc16/angle/include/KHR/khrplatform.h,h,10037,
.clang-format,vc16/angle/include/KHR/.clang-format,,22,
gl2.h,vc16/angle/include/GLES2/gl2.h,h,43972,
gl2ext_explicit_context_autogen.inc,vc16/angle/include/GLES2/gl2ext_explicit_context_autogen.inc,inc,108664,
.clang-format,vc16/angle/include/GLES2/.clang-format,,22,
gl2ext.h,vc16/angle/include/GLES2/gl2ext.h,h,231776,
gl2ext_angle.h,vc16/angle/include/GLES2/gl2ext_angle.h,h,42780,
gl2platform.h,vc16/angle/include/GLES2/gl2platform.h,h,909,
ShaderLang.h,vc16/angle/include/GLSLANG/ShaderLang.h,h,34968,
ShaderVars.h,vc16/angle/include/GLSLANG/ShaderVars.h,h,10704,
