from_chapter,from_facet,to_chapter,to_facet,type,evidence_path,note
01_core,01_core,03_modules,03_modules.lua_exports,uses,docs/authoring/03_modules/datasets/lua_exports.csv,
01_core,01_core,04_ui,04_ui.ui_widgets,renders,docs/authoring/04_ui/datasets/ui_widgets.csv,
01_core,01_core,02_events,02_events.events_matrix,emits,docs/authoring/02_events/datasets/events_matrix.csv,
01_core,01_core,09_logging,09_logging.logging_categories,logs,docs/authoring/09_logging/datasets/logging_categories.csv,
02_events,02_events,03_modules,03_modules.lua_exports,handled_by,docs/authoring/03_modules/datasets/lua_exports.csv,
02_events,02_events,04_ui,04_ui.signals,emits,docs/authoring/04_ui/datasets/signals.csv,
02_events,02_events,09_logging,09_logging.logging_categories,logs,docs/authoring/09_logging/datasets/logging_categories.csv,
03_modules,03_modules,04_ui,04_ui.ui_widgets,renders,docs/authoring/04_ui/datasets/ui_widgets.csv,
03_modules,03_modules,02_events,02_events.events_matrix,handles,docs/authoring/02_events/datasets/events_matrix.csv,
03_modules,03_modules,09_logging,09_logging.logging_categories,logs,docs/authoring/09_logging/datasets/logging_categories.csv,
04_ui,04_ui,03_modules,03_modules.lua_exports,renders,docs/authoring/03_modules/datasets/lua_exports.csv,
04_ui,04_ui,02_events,02_events.events_matrix,emits,docs/authoring/02_events/datasets/events_matrix.csv,
04_ui,04_ui,06_assets,06_assets.assets_index,uses,docs/authoring/06_assets/datasets/assets_index.csv,
04_ui,04_ui,09_logging,09_logging.logging_categories,logs,docs/authoring/09_logging/datasets/logging_categories.csv,
05_network,05_network,10_game_runtime,10_game_runtime.game_state,influences,docs/authoring/10_game_runtime/datasets/game_state.csv,
05_network,05_network,09_logging,09_logging.logging_categories,logs,docs/authoring/09_logging/datasets/logging_categories.csv,
06_assets,06_assets,10_game_runtime,10_game_runtime.resources,provides,docs/authoring/10_game_runtime/datasets/resources.csv,
06_assets,06_assets,04_ui,04_ui.ui_widgets,used_by,docs/authoring/04_ui/datasets/ui_widgets.csv,
07_settings_crypto,07_settings_crypto,01_runtime,01_runtime.counters,affects,docs/authoring/01_runtime/datasets/counters.csv,
07_settings_crypto,07_settings_crypto,05_network,05_network.network_messages,secures,docs/authoring/05_network/datasets/network_messages.csv,
08_audio,08_audio,10_game_runtime,10_game_runtime.tick,syncs_with,docs/authoring/10_game_runtime/datasets/ticks.csv,
08_audio,08_audio,06_assets,06_assets.assets_index,uses,docs/authoring/06_assets/datasets/assets_index.csv,
09_logging,09_logging,02_events,02_events.events_matrix,observes,docs/authoring/02_events/datasets/events_matrix.csv,
09_logging,09_logging,05_network,05_network.network_messages,observes,docs/authoring/05_network/datasets/network_messages.csv,
10_game_runtime,10_game_runtime,06_assets,06_assets.assets_index,consumes,docs/authoring/06_assets/datasets/assets_index.csv,
10_game_runtime,10_game_runtime,05_network,05_network.flows,driven_by,docs/authoring/05_network/datasets/flows.csv,
10_game_runtime,10_game_runtime,08_audio,08_audio.events,syncs,docs/authoring/08_audio/datasets/events.csv,
