chapter,md_files,size_kb,datasets,diagrams,status,notes
01_core,220,869.2,6,3,PASS,
01_runtime,4,12.7,6,6,WARN,
02_events,5,18.1,7,8,PASS,
03_modules,396,618.1,5,5,PASS,
04_ui,203,325.0,6,82,PASS,
05_network,9,39.5,6,5,PASS,
06_assets,5,16.9,8,7,WARN,
07_settings_crypto,5,20.0,8,7,PASS,
08_audio,5,5.8,5,5,WARN,
09_logging,5,5.7,6,4,WARN,
10_game_runtime,5,18.2,8,7,PASS,
11_data,6,53.8,12,7,PASS,
12_otmod,5,32.2,8,6,PASS,
13_layouts,4,12.3,5,5,WARN,
14_android,5,16.2,10,4,WARN,
15_vc16,6,32.1,7,2,PASS,
