chapter,gap_type,description,remediation
01_core,size_below_18kb,"Current size: 1.2KB, needs 16.8KB more","Add more detailed content, examples, and documentation"
01_runtime,size_below_18kb,"Current size: 1.2KB, needs 16.8KB more","Add more detailed content, examples, and documentation"
02_events,size_below_18kb,"Current size: 1.2KB, needs 16.8KB more","Add more detailed content, examples, and documentation"
03_modules,size_below_18kb,"Current size: 1.1KB, needs 16.9KB more","Add more detailed content, examples, and documentation"
04_ui,size_below_18kb,"Current size: 1.1KB, needs 16.9KB more","Add more detailed content, examples, and documentation"
05_network,size_below_18kb,"Current size: 1.2KB, needs 16.8KB more","Add more detailed content, examples, and documentation"
06_assets,size_below_18kb,"Current size: 1.2KB, needs 16.8KB more","Add more detailed content, examples, and documentation"
07_settings_crypto,size_below_18kb,"Current size: 1.2KB, needs 16.8KB more","Add more detailed content, examples, and documentation"
08_audio,size_below_18kb,"Current size: 1.1KB, needs 16.9KB more","Add more detailed content, examples, and documentation"
09_logging,size_below_18kb,"Current size: 1.1KB, needs 16.9KB more","Add more detailed content, examples, and documentation"
10_game_runtime,size_below_18kb,"Current size: 1.1KB, needs 16.9KB more","Add more detailed content, examples, and documentation"
11_data,size_below_18kb,"Current size: 1.1KB, needs 16.9KB more","Add more detailed content, examples, and documentation"
12_otmod,size_below_18kb,"Current size: 1.1KB, needs 16.9KB more","Add more detailed content, examples, and documentation"
13_layouts,size_below_18kb,"Current size: 1.1KB, needs 16.9KB more","Add more detailed content, examples, and documentation"
14_android,size_below_18kb,"Current size: 1.2KB, needs 16.8KB more","Add more detailed content, examples, and documentation"
15_vc16,size_below_18kb,"Current size: 1.1KB, needs 16.9KB more","Add more detailed content, examples, and documentation"
