file,status,issue
locales.csv,WARN,"Row 3: has 2 columns, expected 1"
locales.csv,WARN,"Row 4: has 2 columns, expected 1"
locales.csv,WARN,"Row 5: has 2 columns, expected 1"
locales.csv,WARN,"Row 6: has 2 columns, expected 1"
locales.csv,WARN,"Row 7: has 2 columns, expected 1"
locales.csv,WARN,"Row 8: has 2 columns, expected 1"
locales.csv,WARN,"Row 9: has 2 columns, expected 1"
locales.csv,WARN,"Row 10: has 2 columns, expected 1"
locales.csv,WARN,"Row 11: has 2 columns, expected 1"
locales.csv,WARN,"Row 12: has 2 columns, expected 1"
locales.csv,WARN,"Row 13: has 2 columns, expected 1"
locales.csv,WARN,"Row 14: has 2 columns, expected 1"
locales.csv,WARN,"Row 15: has 2 columns, expected 1"
locales.csv,WARN,"Row 16: has 2 columns, expected 1"
locales.csv,WARN,"Row 17: has 2 columns, expected 1"
locales.csv,WARN,"Row 18: has 2 columns, expected 1"
locales.csv,WARN,"Row 19: has 2 columns, expected 1"
locales.csv,WARN,"Row 20: has 2 columns, expected 1"
locales.csv,WARN,"Row 21: has 2 columns, expected 1"
locales.csv,WARN,"Row 22: has 2 columns, expected 1"
locales.csv,WARN,"Row 23: has 2 columns, expected 1"
locales.csv,WARN,"Row 24: has 2 columns, expected 1"
locales.csv,WARN,"Row 25: has 2 columns, expected 1"
locales.csv,WARN,"Row 26: has 2 columns, expected 1"
locales.csv,WARN,"Row 27: has 2 columns, expected 1"
locales.csv,WARN,"Row 28: has 2 columns, expected 1"
locales.csv,WARN,"Row 29: has 2 columns, expected 1"
locales.csv,WARN,"Row 30: has 2 columns, expected 1"
locales.csv,WARN,"Row 31: has 2 columns, expected 1"
locales.csv,WARN,"Row 32: has 2 columns, expected 1"
locales.csv,WARN,"Row 33: has 2 columns, expected 1"
locales.csv,WARN,"Row 34: has 2 columns, expected 1"
locales.csv,WARN,"Row 35: has 2 columns, expected 1"
locales.csv,WARN,"Row 36: has 2 columns, expected 1"
locales.csv,WARN,"Row 37: has 3 columns, expected 1"
locales.csv,WARN,"Row 38: has 5 columns, expected 1"
locales.csv,WARN,"Row 39: has 2 columns, expected 1"
locales.csv,WARN,"Row 40: has 2 columns, expected 1"
locales.csv,WARN,"Row 41: has 2 columns, expected 1"
locales.csv,WARN,"Row 42: has 2 columns, expected 1"
locales.csv,WARN,"Row 43: has 2 columns, expected 1"
locales.csv,WARN,"Row 44: has 2 columns, expected 1"
locales.csv,WARN,"Row 45: has 2 columns, expected 1"
locales.csv,WARN,"Row 46: has 2 columns, expected 1"
locales.csv,WARN,"Row 47: has 2 columns, expected 1"
locales.csv,WARN,"Row 48: has 3 columns, expected 1"
locales.csv,WARN,"Row 49: has 2 columns, expected 1"
locales.csv,WARN,"Row 50: has 2 columns, expected 1"
locales.csv,WARN,"Row 51: has 2 columns, expected 1"
locales.csv,WARN,"Row 52: has 2 columns, expected 1"
locales.csv,WARN,"Row 53: has 2 columns, expected 1"
locales.csv,WARN,"Row 54: has 2 columns, expected 1"
locales.csv,WARN,"Row 55: has 2 columns, expected 1"
locales.csv,WARN,"Row 56: has 2 columns, expected 1"
locales.csv,WARN,"Row 57: has 2 columns, expected 1"
locales.csv,WARN,"Row 58: has 2 columns, expected 1"
locales.csv,WARN,"Row 59: has 2 columns, expected 1"
locales.csv,WARN,"Row 60: has 2 columns, expected 1"
locales.csv,WARN,"Row 61: has 2 columns, expected 1"
locales.csv,WARN,"Row 62: has 2 columns, expected 1"
locales.csv,WARN,"Row 63: has 2 columns, expected 1"
locales.csv,WARN,"Row 64: has 2 columns, expected 1"
locales.csv,WARN,"Row 65: has 2 columns, expected 1"
locales.csv,WARN,"Row 66: has 2 columns, expected 1"
locales.csv,WARN,"Row 67: has 2 columns, expected 1"
locales.csv,WARN,"Row 68: has 2 columns, expected 1"
locales.csv,WARN,"Row 69: has 2 columns, expected 1"
locales.csv,WARN,"Row 70: has 2 columns, expected 1"
locales.csv,WARN,"Row 71: has 2 columns, expected 1"
locales.csv,WARN,"Row 72: has 2 columns, expected 1"
locales.csv,WARN,"Row 73: has 3 columns, expected 1"
locales.csv,WARN,"Row 74: has 2 columns, expected 1"
locales.csv,WARN,"Row 75: has 3 columns, expected 1"
locales.csv,WARN,"Row 76: has 2 columns, expected 1"
locales.csv,WARN,"Row 77: has 3 columns, expected 1"
locales.csv,WARN,"Row 78: has 2 columns, expected 1"
locales.csv,WARN,"Row 79: has 2 columns, expected 1"
locales.csv,WARN,"Row 80: has 2 columns, expected 1"
locales.csv,WARN,"Row 81: has 2 columns, expected 1"
locales.csv,WARN,"Row 82: has 2 columns, expected 1"
locales.csv,WARN,"Row 83: has 2 columns, expected 1"
locales.csv,WARN,"Row 84: has 2 columns, expected 1"
locales.csv,WARN,"Row 85: has 2 columns, expected 1"
locales.csv,WARN,"Row 86: has 2 columns, expected 1"
locales.csv,WARN,"Row 87: has 2 columns, expected 1"
locales.csv,WARN,"Row 88: has 2 columns, expected 1"
locales.csv,WARN,"Row 89: has 2 columns, expected 1"
locales.csv,WARN,"Row 90: has 2 columns, expected 1"
locales.csv,WARN,"Row 91: has 2 columns, expected 1"
locales.csv,WARN,"Row 92: has 2 columns, expected 1"
locales.csv,WARN,"Row 93: has 2 columns, expected 1"
locales.csv,WARN,"Row 94: has 2 columns, expected 1"
locales.csv,WARN,"Row 95: has 2 columns, expected 1"
locales.csv,WARN,"Row 96: has 2 columns, expected 1"
locales.csv,WARN,"Row 97: has 2 columns, expected 1"
locales.csv,WARN,"Row 98: has 2 columns, expected 1"
locales.csv,WARN,"Row 99: has 2 columns, expected 1"
locales.csv,WARN,"Row 100: has 2 columns, expected 1"
locales.csv,WARN,"Row 101: has 2 columns, expected 1"
locales.csv,WARN,"Row 102: has 2 columns, expected 1"
locales.csv,WARN,"Row 103: has 2 columns, expected 1"
locales.csv,WARN,"Row 104: has 2 columns, expected 1"
locales.csv,WARN,"Row 105: has 2 columns, expected 1"
locales.csv,WARN,"Row 106: has 2 columns, expected 1"
locales.csv,WARN,"Row 107: has 2 columns, expected 1"
