file,link,classification,suggestion
05_network\extended_opcodes.md,../03_modules/bot_integration.md,needed_missing,
05_network\packet_structure.md,../01_core/network.md,needed_missing,
12_otmod\load_later_patterns.md,./module_dependencies.md,needed_missing,
12_otmod\sandbox_security.md,./module_dependencies.md,needed_missing,
12_otmod\sandbox_security.md,../01_core/security.md,needed_missing,
13_layouts\theme_creation.md,./override_resolution.md,needed_missing,
13_layouts\theme_creation.md,./image_properties.md,needed_missing,
15_vc16\angle_integration.md,../01_core/graphics.md,needed_missing,
15_vc16\dll_deployment.md,../14_android/deployment.md,needed_missing,
analytics\POST_DEPLOYMENT_VERIFICATION.md,09_logging_diagrams_working.png,needed_missing,
analytics\POST_DEPLOYMENT_VERIFICATION.md,03_modules_diagrams_working.png,needed_missing,
analytics\POST_DEPLOYMENT_VERIFICATION.md,06_assets_diagrams_working.png,needed_missing,
_sources\chapter_01_specyfikacja_implementacji_studio_react_electron_dla_skryptow_otclient_v_8_v_bot.md,./diagrams/runtime_stack.mmd,needed_missing,
_sources\chapter_02_events_docs_export_kit_authoring_agent_ready.md,./diagrams/login_sequence.mmd,needed_missing,
_sources\chapter_02_events_docs_export_kit_authoring_agent_ready.md,./diagrams/events_flow.mmd,needed_missing,
_sources\chapter_03_modules_docs_export_kit_authoring_agent_ready.md,./diagrams/modules_flow.mmd,needed_missing,
_sources\chapter_03_modules_docs_export_kit_authoring_agent_ready.md,./diagrams/modules_relations.mmd,needed_missing,
_sources\chapter_04_ui_docs_export_kit_authoring_agent_ready.md,./diagrams/ui_flow.mmd,needed_missing,
_sources\chapter_06_assets_docs_export_kit_authoring_agent_ready.md,./diagrams/assets_flow.mmd,needed_missing,
_sources\chapter_07_settings_crypto_docs_export_kit_authoring_agent_ready.md,./diagrams/settings_crypto_flow.mmd,needed_missing,
_sources\chapter_08_audio_docs_export_kit_authoring_agent_ready.md,./diagrams/audio_flow.mmd,needed_missing,
_sources\chapter_09_logging_docs_export_kit_authoring_agent_ready.md,./diagrams/logging_flow.mmd,needed_missing,
_sources\chapter_09_logging_docs_export_kit_authoring_agent_ready.md,./diagrams/error_timeline.mmd,needed_missing,
_sources\chapter_10_game_runtime_docs_export_kit_authoring_agent_ready.md,./diagrams/game_runtime_flow.mmd,needed_missing,
_sources\chapter_12_otmod_docs_export_kit_authoring_agent_ready.md,[%w_%./%-]+,needed_missing,
01_core\api\cpp\framework\core\adaptiverenderer.md,../diagrams/adaptiverenderer.mmd,needed_missing,
01_core\api\cpp\framework\core\application.md,../diagrams/application.mmd,needed_missing,
01_core\api\cpp\framework\core\asyncdispatcher.md,../diagrams/asyncdispatcher.mmd,needed_missing,
01_core\api\cpp\framework\core\binarytree.md,../diagrams/binarytree.mmd,needed_missing,
01_core\api\cpp\framework\core\clock.md,../diagrams/clock.mmd,needed_missing,
01_core\api\cpp\framework\core\config.md,../diagrams/config.mmd,needed_missing,
01_core\api\cpp\framework\core\configmanager.md,../diagrams/configmanager.mmd,needed_missing,
01_core\api\cpp\framework\core\consoleapplication.md,../diagrams/consoleapplication.mmd,needed_missing,
01_core\api\cpp\framework\core\declarations.md,../diagrams/declarations.mmd,needed_missing,
01_core\api\cpp\framework\core\event.md,../diagrams/event.mmd,needed_missing,
01_core\api\cpp\framework\core\eventdispatcher.md,../diagrams/eventdispatcher.mmd,needed_missing,
01_core\api\cpp\framework\core\filestream.md,../diagrams/filestream.mmd,needed_missing,
