chapter,file,issue,line
01_core,flow.mmd,Missing or incorrect Mermaid init block,1
02_events,architecture.mmd,Missing or incorrect Mermaid init block,1
02_events,flow.mmd,Missing or incorrect Mermaid init block,1
03_modules,architecture.mmd,Missing or incorrect Mermaid init block,1
03_modules,flow.mmd,Missing or incorrect Mermaid init block,1
04_ui,gameinterface.mmd,Missing or incorrect Mermaid init block,1
04_ui,architecture.mmd,Missing or incorrect Mermaid init block,1
04_ui,channelswindow.mmd,Missing or incorrect Mermaid init block,1
04_ui,hotkeys_manager.mmd,Missing or incorrect Mermaid init block,1
04_ui,markettabs.mmd,Missing or incorrect Mermaid init block,1
04_ui,alarms.mmd,Missing or incorrect Mermaid init block,1
04_ui,battlebutton.mmd,Missing or incorrect Mermaid init block,1
04_ui,depositer_config.mmd,Missing or incorrect Mermaid init block,1
04_ui,battle.mmd,Missing or incorrect Mermaid init block,1
04_ui,flagwindow.mmd,Missing or incorrect Mermaid init block,1
04_ui,analyzer.mmd,Missing or incorrect Mermaid init block,1
04_ui,pushmax.mmd,Missing or incorrect Mermaid init block,1
04_ui,looting.mmd,Missing or incorrect Mermaid init block,1
04_ui,container.mmd,Missing or incorrect Mermaid init block,1
04_ui,AttackBot.mmd,Missing or incorrect Mermaid init block,1
04_ui,stats.mmd,Missing or incorrect Mermaid init block,1
04_ui,config.mmd,Missing or incorrect Mermaid init block,1
04_ui,outfitwindow.mmd,Missing or incorrect Mermaid init block,1
04_ui,bugreport.mmd,Missing or incorrect Mermaid init block,1
04_ui,terminal.mmd,Missing or incorrect Mermaid init block,1
04_ui,itemselector.mmd,Missing or incorrect Mermaid init block,1
04_ui,new_healer.mmd,Missing or incorrect Mermaid init block,1
04_ui,basic.mmd,Missing or incorrect Mermaid init block,1
04_ui,icons.mmd,Missing or incorrect Mermaid init block,1
04_ui,skills.mmd,Missing or incorrect Mermaid init block,1
04_ui,equipper.mmd,Missing or incorrect Mermaid init block,1
04_ui,actionbar.mmd,Missing or incorrect Mermaid init block,1
04_ui,object.mmd,Missing or incorrect Mermaid init block,1
04_ui,amountwindow.mmd,Missing or incorrect Mermaid init block,1
04_ui,textedit.mmd,Missing or incorrect Mermaid init block,1
04_ui,shop.mmd,Missing or incorrect Mermaid init block,1
04_ui,supplies.mmd,Missing or incorrect Mermaid init block,1
04_ui,HealBot.mmd,Missing or incorrect Mermaid init block,1
04_ui,panels.mmd,Missing or incorrect Mermaid init block,1
