widget_or_type,file,line,anchor
background,modules/modules/client_background/background.otui,1,:ref:`modules-modules-client-background-background-otui-l1-background-5d45560aee`
clientVersionLabel,modules/modules/client_background/background.otui,10,:ref:`modules-modules-client-background-background-otui-l10-clientvers-1fe856a13e`
nan,modules/modules/client_entergame/characterlist.otui,1,:ref:`modules-modules-client-entergame-characterlist-otui-l1-nan-370aedae05`
nan,modules/modules/client_entergame/characterlist.otui,9,:ref:`modules-modules-client-entergame-characterlist-otui-l9-nan-167868b800`
nan,modules/modules/client_entergame/characterlist.otui,10,:ref:`modules-modules-client-entergame-characterlist-otui-l10-nan-dde264effb`
name,modules/modules/client_entergame/characterlist.otui,17,:ref:`modules-modules-client-entergame-characterlist-otui-l17-name-40d4818582`
worldName,modules/modules/client_entergame/characterlist.otui,30,:ref:`modules-modules-client-entergame-characterlist-otui-l30-worldnam-058cc02a9b`
charactersWindow,modules/modules/client_entergame/characterlist.otui,44,:ref:`modules-modules-client-entergame-characterlist-otui-l44-characte-acc12840bc`
characters,modules/modules/client_entergame/characterlist.otui,57,:ref:`modules-modules-client-entergame-characterlist-otui-l57-characte-ce935bb2d8`
characterListScrollBar,modules/modules/client_entergame/characterlist.otui,70,:ref:`modules-modules-client-entergame-characterlist-otui-l70-characte-c7a6aed32a`
accountStatusCaption,modules/modules/client_entergame/characterlist.otui,79,:ref:`modules-modules-client-entergame-characterlist-otui-l79-accounts-0375223f77`
accountStatusLabel,modules/modules/client_entergame/characterlist.otui,86,:ref:`modules-modules-client-entergame-characterlist-otui-l86-accounts-3e17eca2eb`
separator,modules/modules/client_entergame/characterlist.otui,97,:ref:`modules-modules-client-entergame-characterlist-otui-l97-separato-d306910797`
autoReconnect,modules/modules/client_entergame/characterlist.otui,104,:ref:`modules-modules-client-entergame-characterlist-otui-l104-autorec-7abe3256f9`
buttonOk,modules/modules/client_entergame/characterlist.otui,118,:ref:`modules-modules-client-entergame-characterlist-otui-l118-buttono-31e736fb07`
