global_symbol,method,signature_args,description
g_client,getEngine,,"Returns the engine name (e.g., ""OTClientV8"")"
g_client,getVersion,,Returns the client version string
g_client,getBuildCompiler,,Returns the compiler used for the build
g_client,getBuildDate,,Returns the build date
g_client,getBuildType,,"Returns the build type (e.g., ""Release"")"
g_client,getArch,,"Returns the architecture (e.g., ""x86_64"")"
g_client,exit,,Exits the client application
g_client,forceExit,,Forces the client to exit immediately
g_client,setGraphicsEngine,engine,"Sets the graphics engine (""opengl"", ""directx"")"
g_client,getGraphicsEngine,,Gets the current graphics engine
g_client,getMousePosition,,Returns the current mouse position as a Point
g_client,getDisplaySize,,Returns the display size as a Size
g_client,getFps,,Returns the current frames per second
g_client,getUps,,Returns the current updates per second
g_client,getMemoryUsage,,Returns memory usage in kilobytes
g_client,setFramerateLimit,limit,Sets the FPS limit
g_window,setTitle,title,Sets the window title
g_window,setSize,size,Sets the window size
g_window,hide,,Hides the window
g_window,show,,Shows the window
g_window,maximize,,Maximizes the window
g_window,poll,,Polls for window events
g_window,setIcon,path,Sets the window icon
g_window,setMinimumSize,size,Sets the minimum window size
g_window,getDisplaySize,,Returns the size of the display/monitor
g_window,getPlatform,,"Returns the OS platform (e.g., ""windows"", ""linux"")"
g_window,isMaximized,,Checks if the window is maximized
g_window,isVisible,,Checks if the window is visible
g_app,setName,name,Sets the application name
g_app,setCompactName,name,Sets a compact name for the app
g_app,setVersion,version,Sets the app version string
g_app,getCompactName,,Gets the compact app name
g_app,getName,,Gets the app name
g_app,getVersion,,Gets the app version
g_app,getBuildVersion,,Gets the build version
g_app,getOs,,Returns the operating system
g_app,setDataDirectory,dir,Sets the data directory
g_app,getSettings,,Returns a table with application settings
g_app,loadSettings,,Loads settings from the config file
g_app,saveSettings,,Saves settings to the config file
g_resources,addSearchPath,"path, prepend",Adds a directory to the asset search path
g_resources,removeSearchPath,path,Removes a directory from the search path
g_resources,getBaseDir,,Gets the base application directory
g_resources,getWorkDir,,Gets the working directory
g_resources,fileExists,path,Checks if a file exists in the search paths
g_resources,readFile,path,Reads the content of a file
g_resources,writeFile,"path, content",Writes content to a file
g_resources,makeDir,path,Creates a directory
g_sounds,play,"filename, volume",Plays a sound file
g_sounds,playMusic,"filename, volume",Plays a music file (streams it)
g_sounds,stopMusic,,Stops the currently playing music
g_sounds,setVolume,volume,Sets the master audio volume (0.0 - 1.0)
g_client,getEngine,,"Returns the engine name (e.g., ""OTClientV8"")"
g_client,getVersion,,Returns the client version string
g_client,getBuildCompiler,,Returns the compiler used for the build
g_client,getBuildDate,,Returns the build date
g_client,getBuildType,,"Returns the build type (e.g., ""Release"")"
g_client,getArch,,"Returns the architecture (e.g., ""x86_64"")"
g_client,exit,,Exits the client application
g_client,forceExit,,Forces the client to exit immediately
g_client,setGraphicsEngine,engine,"Sets the graphics engine (""opengl"", ""directx"")"
g_client,getGraphicsEngine,,Gets the current graphics engine
g_client,getMousePosition,,Returns the current mouse position as a Point
g_client,getDisplaySize,,Returns the display size as a Size
g_client,getFps,,Returns the current frames per second
g_client,getUps,,Returns the current updates per second
g_client,getMemoryUsage,,Returns memory usage in kilobytes
g_client,setFramerateLimit,limit,Sets the FPS limit
g_window,setTitle,title,Sets the window title
g_window,setSize,size,Sets the window size
g_window,hide,,Hides the window
g_window,show,,Shows the window
g_window,maximize,,Maximizes the window
g_window,poll,,Polls for window events
g_window,setIcon,path,Sets the window icon
g_window,setMinimumSize,size,Sets the minimum window size
g_window,getDisplaySize,,Returns the size of the display/monitor
g_window,getPlatform,,"Returns the OS platform (e.g., ""windows"", ""linux"")"
g_window,isMaximized,,Checks if the window is maximized
g_window,isVisible,,Checks if the window is visible
g_app,setName,name,Sets the application name
g_app,setCompactName,name,Sets a compact name for the app
g_app,setVersion,version,Sets the app version string
g_app,getCompactName,,Gets the compact app name
g_app,getName,,Gets the app name
g_app,getVersion,,Gets the app version
g_app,getBuildVersion,,Gets the build version
g_app,getOs,,Returns the operating system
g_app,setDataDirectory,dir,Sets the data directory
g_app,getSettings,,Returns a table with application settings
g_app,loadSettings,,Loads settings from the config file
g_app,saveSettings,,Saves settings to the config file
g_resources,addSearchPath,"path, prepend",Adds a directory to the asset search path
g_resources,removeSearchPath,path,Removes a directory from the search path
g_resources,getBaseDir,,Gets the base application directory
g_resources,getWorkDir,,Gets the working directory
g_resources,fileExists,path,Checks if a file exists in the search paths
g_resources,readFile,path,Reads the content of a file
g_resources,writeFile,"path, content",Writes content to a file
g_resources,makeDir,path,Creates a directory
g_sounds,play,"filename, volume",Plays a sound file
g_sounds,playMusic,"filename, volume",Plays a music file (streams it)
g_sounds,stopMusic,,Stops the currently playing music
g_sounds,setVolume,volume,Sets the master audio volume (0.0 - 1.0)
