file,line,path,type,base,id,props_json
modules/client_background/background.otui,1,UIWidget#background,UIWidget,,background,"{""id"": ""background"", ""anchors.fill"": ""parent"", ""focusable"": ""false"", ""image-source"": ""/images/background"", ""image-smooth"": ""true"", ""image-fixed-ratio"": ""true"", ""margin-top"": ""1""}"
modules/client_background/background.otui,10,UIWidget#background/UILabel#clientVersionLabel,UILabel,,clientVersionLabel,"{""id"": ""clientVersionLabel"", ""background-color"": ""#00000099"", ""anchors.right"": ""parent.right"", ""anchors.bottom"": ""parent.bottom"", ""text-align"": ""center"", ""text-auto-resize"": ""false"", ""width"": ""220"", ""height"": ""90"", ""padding"": ""2"", ""color"": ""#ffffff"", ""font"": ""terminus-14px-bold""}"
modules/client_entergame/characterlist.otui,1,CharacterWidget,CharacterWidget,UIWidget,,"{""height"": ""14"", ""background-color"": ""alpha""}"
modules/client_entergame/characterlist.otui,9,CharacterWidget/end,end,,,{}
modules/client_entergame/characterlist.otui,10,CharacterWidget/end,end,,,"{""background-color"": ""#ffffff22""}"
modules/client_entergame/characterlist.otui,17,CharacterWidget/Label#name,Label,,name,"{""id"": ""name"", ""color"": ""#ffffff"", ""anchors.top"": ""parent.top"", ""anchors.left"": ""parent.left"", ""font"": ""verdana-11px-monochrome"", ""text-auto-resize"": ""true"", ""background-color"": ""alpha"", ""text-offset"": ""2 0""}"
modules/client_entergame/characterlist.otui,30,CharacterWidget/Label#worldName,Label,,worldName,"{""id"": ""worldName"", ""color"": ""#ffffff"", ""anchors.top"": ""parent.top"", ""anchors.right"": ""parent.right"", ""margin-right"": ""5"", ""font"": ""verdana-11px-monochrome"", ""text-auto-resize"": ""true"", ""background-color"": ""alpha""}"
modules/client_entergame/characterlist.otui,44,StaticMainWindow#charactersWindow,StaticMainWindow,,charactersWindow,"{""id"": ""charactersWindow"", ""visible"": ""false"", ""size"": ""350 280""}"
modules/client_entergame/characterlist.otui,57,StaticMainWindow#charactersWindow/TextList#characters,TextList,,characters,"{""id"": ""characters"", ""background-color"": ""#565656"", ""anchors.top"": ""parent.top"", ""anchors.left"": ""parent.left"", ""anchors.right"": ""characterListScrollBar.left"", ""anchors.bottom"": ""accountStatusCaption.top"", ""margin-bottom"": ""5"", ""padding"": ""1"", ""focusable"": ""false"", ""vertical-scrollbar"": ""characterListScrollBar"", ""auto-focus"": ""first""}"
modules/client_entergame/characterlist.otui,70,StaticMainWindow#charactersWindow/VerticalScrollBar#characterListScrollBar,VerticalScrollBar,,characterListScrollBar,"{""id"": ""characterListScrollBar"", ""anchors.top"": ""parent.top"", ""anchors.bottom"": ""accountStatusCaption.top"", ""anchors.right"": ""parent.right"", ""margin-bottom"": ""5"", ""step"": ""14"", ""pixels-scroll"": ""true""}"
modules/client_entergame/characterlist.otui,79,StaticMainWindow#charactersWindow/Label#accountStatusCaption,Label,,accountStatusCaption,"{""id"": ""accountStatusCaption"", ""anchors.left"": ""parent.left"", ""anchors.bottom"": ""separator.top"", ""margin-bottom"": ""5""}"
modules/client_entergame/characterlist.otui,86,StaticMainWindow#charactersWindow/Label#accountStatusLabel,Label,,accountStatusLabel,"{""id"": ""accountStatusLabel"", ""anchors.right"": ""parent.right"", ""anchors.bottom"": ""separator.top"", ""margin-bottom"": ""5"", ""text-auto-resize"": ""true"", ""color"": ""#FF0000""}"
modules/client_entergame/characterlist.otui,97,StaticMainWindow#charactersWindow/HorizontalSeparator#separator,HorizontalSeparator,,separator,"{""id"": ""separator"", ""anchors.left"": ""parent.left"", ""anchors.right"": ""parent.right"", ""anchors.bottom"": ""next.top"", ""margin-bottom"": ""10""}"
modules/client_entergame/characterlist.otui,104,StaticMainWindow#charactersWindow/Button#autoReconnect,Button,,autoReconnect,"{""id"": ""autoReconnect"", ""width"": ""140"", ""anchors.left"": ""parent.left"", ""anchors.bottom"": ""parent.bottom"", ""image-color"": ""green""}"
modules/client_entergame/characterlist.otui,118,StaticMainWindow#charactersWindow/Button#buttonOk,Button,,buttonOk,"{""id"": ""buttonOk"", ""width"": ""64"", ""anchors.right"": ""next.left"", ""anchors.bottom"": ""parent.bottom"", ""margin-right"": ""10""}"
modules/client_entergame/characterlist.otui,127,StaticMainWindow#charactersWindow/Button#buttonCancel,Button,,buttonCancel,"{""id"": ""buttonCancel"", ""width"": ""64"", ""anchors.right"": ""parent.right"", ""anchors.bottom"": ""parent.bottom""}"
modules/client_entergame/entergame.otui,1,EnterGameWindow#enterGame,EnterGameWindow,,enterGame,"{""id"": ""enterGame""}"
modules/client_entergame/entergame.otui,5,EnterGameWindow#enterGame/MenuLabel,MenuLabel,,,"{""anchors.left"": ""parent.left"", ""anchors.top"": ""parent.top"", ""text-auto-resize"": ""true""}"
modules/client_entergame/entergame.otui,11,EnterGameWindow#enterGame/TextEdit#accountNameTextEdit,TextEdit,,accountNameTextEdit,"{""id"": ""accountNameTextEdit"", ""anchors.left"": ""parent.left"", ""anchors.right"": ""parent.right"", ""anchors.top"": ""prev.bottom"", ""margin-top"": ""2""}"
modules/client_entergame/entergame.otui,18,EnterGameWindow#enterGame/MenuLabel,MenuLabel,,,"{""anchors.left"": ""prev.left"", ""anchors.top"": ""prev.bottom"", ""margin-top"": ""8"", ""text-auto-resize"": ""true""}"
modules/client_entergame/entergame.otui,25,EnterGameWindow#enterGame/PasswordTextEdit#accountPasswordTextEdit,PasswordTextEdit,,accountPasswordTextEdit,"{""id"": ""accountPasswordTextEdit"", ""anchors.left"": ""parent.left"", ""anchors.right"": ""parent.right"", ""anchors.top"": ""prev.bottom"", ""margin-top"": ""2""}"
modules/client_entergame/entergame.otui,32,EnterGameWindow#enterGame/MenuLabel,MenuLabel,,,"{""anchors.left"": ""prev.left"", ""anchors.top"": ""prev.bottom"", ""text-auto-resize"": ""true"", ""margin-top"": ""8""}"
modules/client_entergame/entergame.otui,39,EnterGameWindow#enterGame/TextEdit#accountTokenTextEdit,TextEdit,,accountTokenTextEdit,"{""id"": ""accountTokenTextEdit"", ""anchors.left"": ""parent.left"", ""anchors.right"": ""parent.right"", ""anchors.top"": ""prev.bottom"", ""margin-top"": ""2""}"
modules/client_entergame/entergame.otui,46,EnterGameWindow#enterGame/Panel#serverSelectorPanel,Panel,,serverSelectorPanel,"{""id"": ""serverSelectorPanel"", ""anchors.left"": ""parent.left"", ""anchors.right"": ""parent.right"", ""anchors.top"": ""prev.bottom"", ""height"": ""52"", ""on"": ""true"", ""focusable"": ""false"", ""visible"": ""false"", ""margin-top"": ""-52""}"
modules/client_entergame/entergame.otui,63,EnterGameWindow#enterGame/Panel#serverSelectorPanel/HorizontalSeparator,HorizontalSeparator,,,"{""anchors.left"": ""parent.left"", ""anchors.right"": ""parent.right"", ""anchors.top"": ""parent.top"", ""margin-top"": ""10""}"
modules/client_entergame/entergame.otui,69,EnterGameWindow#enterGame/Panel#serverSelectorPanel/MenuLabel#serverLabel,MenuLabel,,serverLabel,"{""id"": ""serverLabel"", ""anchors.left"": ""parent.left"", ""anchors.top"": ""prev.bottom"", ""text-auto-resize"": ""true"", ""margin-top"": ""5""}"
