tr_key,file,line
All modules and scripts were reloaded.,modules/modules/client/client.lua,26
Please wait,modules/modules/client_entergame/characterlist.lua,35
Connecting to game server...,modules/modules/client_entergame/characterlist.lua,35
Login Error,modules/modules/client_entergame/characterlist.lua,108
Two-Factor Authentification,modules/modules/client_entergame/characterlist.lua,119
Connection Error,modules/modules/client_entergame/characterlist.lua,130
Update needed,modules/modules/client_entergame/characterlist.lua,141
Enter with your account again to update your client.,modules/modules/client_entergame/characterlist.lua,141
 (Frozen),modules/modules/client_entergame/characterlist.lua,303
 (Suspended),modules/modules/client_entergame/characterlist.lua,305
Free Account,modules/modules/client_entergame/characterlist.lua,309
Gratis Premium Account,modules/modules/client_entergame/characterlist.lua,312
Error,modules/modules/client_entergame/characterlist.lua,393
You must select a character to login!,modules/modules/client_entergame/characterlist.lua,393
Character List,modules/modules/client_entergame/characterlist.otui,46
Account Status,modules/modules/client_entergame/characterlist.otui,81
Free Account,modules/modules/client_entergame/characterlist.otui,88
Auto reconnect: Off,modules/modules/client_entergame/characterlist.otui,112
Auto reconnect: On,modules/modules/client_entergame/characterlist.otui,115
Ok,modules/modules/client_entergame/characterlist.otui,120
Cancel,modules/modules/client_entergame/characterlist.otui,129
"Your client needs updating, try redownloading it.",modules/modules/client_entergame/entergame.lua,64
Another,modules/modules/client_entergame/entergame.lua,315
Another,modules/modules/client_entergame/entergame.lua,406
Login Error,modules/modules/client_entergame/entergame.lua,427
Cannot login while already in game.,modules/modules/client_entergame/entergame.lua,427
Please wait,modules/modules/client_entergame/entergame.lua,509
Connecting to login server...,modules/modules/client_entergame/entergame.lua,509
Please wait,modules/modules/client_entergame/entergame.lua,554
Connecting to login server...,modules/modules/client_entergame/entergame.lua,554
Login Error,modules/modules/client_entergame/entergame.lua,594
Login Error,modules/modules/client_entergame/entergame.lua,603
Account name,modules/modules/client_entergame/entergame.otui,6
Password,modules/modules/client_entergame/entergame.otui,19
Token,modules/modules/client_entergame/entergame.otui,33
Server,modules/modules/client_entergame/entergame.otui,71
IP:PORT or URL,modules/modules/client_entergame/entergame.otui,115
Make sure that your client uses\nthe correct game client version,modules/modules/client_entergame/entergame.otui,123
Version,modules/modules/client_entergame/entergame.otui,131
Remember password,modules/modules/client_entergame/entergame.otui,156
Remember account and password when starts client,modules/modules/client_entergame/entergame.otui,157
Login,modules/modules/client_entergame/entergame.otui,170
Waiting List,modules/modules/client_entergame/waitinglist.otui,3
Cancel,modules/modules/client_entergame/waitinglist.otui,40
Feedback/Bug report,modules/modules/client_feedback/feedback.otui,4
Bellow enter your feedback or bug report. Please include as much details as possible. Thank you!,modules/modules/client_feedback/feedback.otui,14
Ok,modules/modules/client_feedback/feedback.otui,37
Cancel,modules/modules/client_feedback/feedback.otui,45
Select your language,modules/modules/client_locales/locales.otui,19
Enable audio,modules/modules/client_options/audio.otui,4
Enable music sound,modules/modules/client_options/audio.otui,8
