widget,prop,value,file,line
background,image-source,/images/background,modules/modules/client_background/background.otui,1
clientVersionLabel,font,terminus-14px-bold,modules/modules/client_background/background.otui,10
name,font,verdana-11px-monochrome,modules/modules/client_entergame/characterlist.otui,17
worldName,font,verdana-11px-monochrome,modules/modules/client_entergame/characterlist.otui,30
serverInfoLabel,font,verdana-11px-rounded,modules/modules/client_entergame/entergame.otui,179
nan,font,sans-bold-16px,modules/modules/client_locales/locales.otui,1
nan,font,verdana-11px-antialised,modules/modules/client_locales/locales.otui,4
cursor,background,#FF5858,modules/modules/client_mobile/mobile.otui,6
keypad,image-source,/images/game/mobile/keypad,modules/modules/client_mobile/mobile.otui,17
keypad,background,#00000044,modules/modules/client_mobile/mobile.otui,17
pointer,image-source,/images/game/mobile/keypad_pointer,modules/modules/client_mobile/mobile.otui,30
nan,font,terminus-10px,modules/modules/client_stats/stats.otui,1
nan,font,terminus-10px,modules/modules/client_terminal/terminal.otui,1
nan,font,terminus-10px,modules/modules/client_terminal/terminal.otui,7
commandSymbolLabel,font,terminus-10px,modules/modules/client_terminal/terminal.otui,71
commandTextEdit,background,#aaaaaa11,modules/modules/client_terminal/terminal.otui,81
commandTextEdit,font,terminus-10px,modules/modules/client_terminal/terminal.otui,81
nan,font,cipsoftFont,modules/modules/game_actionbar/actionbar.otui,1
item,image-source,/images/ui/button,modules/modules/game_actionbar/actionbar.otui,7
text,font,verdana-9px,modules/modules/game_actionbar/actionbar.otui,33
hotkeyLabel,background,#292A2A,modules/modules/game_actionbar/actionbar.otui,43
hotkeyLabel,font,cipsoftFont,modules/modules/game_actionbar/actionbar.otui,43
parameterText,font,verdana-9px,modules/modules/game_actionbar/actionbar.otui,55
cooldown,background,#101010aa,modules/modules/game_actionbar/actionbar.otui,67
cooldown,font,verdana-11px-rounded,modules/modules/game_actionbar/actionbar.otui,67
image,image-source,/images/game/actionbar/arrow,modules/modules/game_actionbar/actionbar.otui,92
image,image-source,/images/game/actionbar/arrow-skip,modules/modules/game_actionbar/actionbar.otui,115
image,image-source,/images/game/actionbar/unlocked,modules/modules/game_actionbar/actionbar.otui,143
image,image-source,/images/game/actionbar/arrow,modules/modules/game_actionbar/actionbar.otui,171
image,image-source,/images/game/actionbar/arrow-skip,modules/modules/game_actionbar/actionbar.otui,201
actionBar,image-source,/images/ui/actionbar_background,modules/modules/game_actionbar/actionbar.otui,216
display,font,verdana-11px-rounded,modules/modules/game_actionbar/hotkey.otui,5
buttonClose,font,cipsoftFont,modules/modules/game_actionbar/hotkey.otui,31
buttonClear,font,cipsoftFont,modules/modules/game_actionbar/hotkey.otui,40
buttonOk,font,cipsoftFont,modules/modules/game_actionbar/hotkey.otui,49
nan,image-source,/images/ui/checkbox_round,modules/modules/game_actionbar/object.otui,1
item,image-source,/images/ui/panel_flat,modules/modules/game_actionbar/object.otui,14
select,font,cipsoftFont,modules/modules/game_actionbar/object.otui,60
buttonClose,font,cipsoftFont,modules/modules/game_actionbar/object.otui,76
buttonApply,font,cipsoftFont,modules/modules/game_actionbar/object.otui,84
