source,event_or_hook,context
OTClient_data_documentation_FULL.md,onCheckChange,.top: parent.top     margin-left: 13     margin-top: 8     @onCheckChange: toggleChat()    TabButton     id: prevChannelButton     ic
OTClient_data_documentation_FULL.md,onClick,  enabled: false     margin-right: 5     margin-top: 6     @onClick: removeCurrentTab()    TabButton     id: clearChannelButton
OTClient_data_documentation_FULL.md,onClick,.top: parent.top     margin-right: 5     margin-top: 6     @onClick: |       local consoleTabBar = self:getParent():getChildByI
OTClient_data_documentation_FULL.md,onClick,.top: parent.top     margin-right: 5     margin-top: 6     @onClick: g_game.requestChannels()    TabButton     id: ignoreButton
OTClient_data_documentation_FULL.md,onClick,.top: parent.top     margin-right: 5     margin-top: 6     @onClick: onClickIgnoreButton()    Panel     id: consoleContentPanel
OTClient_data_documentation_FULL.md,onClickIgnoreButton,ent.top     margin-right: 5     margin-top: 6     @onClick: onClickIgnoreButton()    Panel     id: consoleContentPanel     anchors.top: pre
OTClient_data_documentation_FULL.md,onClick, parent.bottom     margin-left: 6     margin-bottom: 6     @onClick: sayModeChange()    TextEdit     id: consoleTextEdit     an
OTClient_data_documentation_FULL.md,onClose,topbuttons/inventory   height: 200   id: inventoryWindow   @onClose: modules.game_inventory.onMiniWindowClose()   &save: true  
OTClient_data_documentation_FULL.md,onMiniWindowClose,00   id: inventoryWindow   @onClose: modules.game_inventory.onMiniWindowClose()   &save: true   &autoOpen: 3    MiniWindowContents     an
OTClient_data_documentation_FULL.md,onClick,     InventoryButton           !text: tr('Stop')           @onClick: g_game.stop(); g_game.cancelAttackAndFollow()          Inv
OTClient_data_documentation_FULL.md,onClick,  InventoryButton           !text: tr('Options')           @onClick: modules.client_options.toggle()          InventoryButton  
OTClient_data_documentation_FULL.md,onClick,  InventoryButton           !text: tr('Hotkeys')           @onClick: modules.game_hotkeys.toggle()          InventoryButton    
OTClient_data_documentation_FULL.md,onClick,   InventoryButton           !text: tr('Logout')           @onClick: modules.game_interface.tryLogout() ``` ### `styles/40-mini
OTClient_data_documentation_FULL.md,onClick,r: black    MinimapFloorUpButton     id: floorUpWidget     @onClick: self:getParent():floorUp(1)    MinimapFloorDownButton     
OTClient_data_documentation_FULL.md,onClick,p(1)    MinimapFloorDownButton     id: floorDownWidget     @onClick: self:getParent():floorDown(1)    MinimapZoomInButton     i
OTClient_data_documentation_FULL.md,onClick,oorDown(1)    MinimapZoomInButton     id: zoomInWidget     @onClick: self:getParent():zoomIn()    MinimapZoomOutButton     id: 
OTClient_data_documentation_FULL.md,onClick,zoomIn()    MinimapZoomOutButton     id: zoomOutWidget     @onClick: self:getParent():zoomOut()    MinimapResetButton     id: r
OTClient_data_documentation_FULL.md,onClick,():zoomOut()    MinimapResetButton     id: resetWidget     @onClick: self:getParent():reset()   // Minimap Flag Create Window  
OTClient_data_documentation_FULL.md,onEnter,ze: 735 575   text: Customise Character   color: #929292   @onEnter: modules.game_outfit.accept()   @onEscape: modules.game_out
OTClient_data_documentation_FULL.md,onEscape, color: #929292   @onEnter: modules.game_outfit.accept()   @onEscape: modules.game_outfit.destroy()    MiniPanel     id: preview
OTClient_data_documentation_FULL.md,onClick,      margin-left: 3         image-clip: 0 0 20 20         @onClick: modules.game_outfit.rotate(1)          $pressed:          
OTClient_data_documentation_FULL.md,onClick,    margin-right: 3         image-clip: 20 0 20 20         @onClick: modules.game_outfit.rotate(-1)          $pressed:         
OTClient_data_documentation_FULL.md,onClick,   text: New       width: 43       font: cipsoftFont       @onClick: modules.game_outfit.newPreset()      Button       text: Re
OTClient_data_documentation_FULL.md,onClick,text: Rename       width: 43       font: cipsoftFont       @onClick: modules.game_outfit.renamePreset()      Button       text:
OTClient_data_documentation_FULL.md,onClick,  text: Save       width: 43       font: cipsoftFont       @onClick: modules.game_outfit.savePreset()      Button       text: D
OTClient_data_documentation_FULL.md,onClick,text: Delete       width: 43       font: cipsoftFont       @onClick: modules.game_outfit.deletePreset()    MiniPanel     id: li
OTClient_data_documentation_FULL.md,onClick,ors.right: parent.right     text: Cancel     width: 65     @onClick: modules.game_outfit.destroy()    Button     anchors.bottom
OTClient_data_documentation_FULL.md,onClick,ev.left     text: Ok     width: 55     margin-right: 5     @onClick: modules.game_outfit.accept() ``` ### `styles/40-tilewidget
modules_Documentation.md,onGameStart,"-musicChannel:enqueue(musicFilename, 3)   connect(g_game, { onGameStart = function() if musicChannel ~= nil then musicChannel:stop("
modules_Documentation.md,onGameEnd,"il then musicChannel:stop(3) end end })   connect(g_game, { onGameEnd = function()       if g_sounds ~= nil then         g_sounds"
modules_Documentation.md,onRun,"       end   end }) end  function init()   connect(g_app, { onRun = startup,                    onExit = exit })   connect(g_"
modules_Documentation.md,onExit,"it()   connect(g_app, { onRun = startup,                    onExit = exit })   connect(g_game, { onGameStart = onGameStart,   "
modules_Documentation.md,onGameStart,"up,                    onExit = exit })   connect(g_game, { onGameStart = onGameStart,                     onGameEnd = onGameEnd })"
modules_Documentation.md,onGameStart,"         onExit = exit })   connect(g_game, { onGameStart = onGameStart,                     onGameEnd = onGameEnd })    if g_sound"
modules_Documentation.md,onGameEnd,"ct(g_game, { onGameStart = onGameStart,                     onGameEnd = onGameEnd })    if g_sounds ~= nil then     --g_sounds.pr"
modules_Documentation.md,onGameEnd," onGameStart = onGameStart,                     onGameEnd = onGameEnd })    if g_sounds ~= nil then     --g_sounds.preload(musicF"
modules_Documentation.md,onRun,"ave()   end end  function terminate()   disconnect(g_app, { onRun = startup,                       onExit = exit })   disconn"
modules_Documentation.md,onExit," disconnect(g_app, { onRun = startup,                       onExit = exit })   disconnect(g_game, { onGameStart = onGameStart,"
modules_Documentation.md,onGameStart,"                    onExit = exit })   disconnect(g_game, { onGameStart = onGameStart,                        onGameEnd = onGameEnd"
modules_Documentation.md,onGameStart,"      onExit = exit })   disconnect(g_game, { onGameStart = onGameStart,                        onGameEnd = onGameEnd })   -- save "
modules_Documentation.md,onGameEnd,"g_game, { onGameStart = onGameStart,                        onGameEnd = onGameEnd })   -- save window configs   g_settings.set('w"
modules_Documentation.md,onGameEnd,"GameStart = onGameStart,                        onGameEnd = onGameEnd })   -- save window configs   g_settings.set('window-size',"
modules_Documentation.md,onGameStart,"it()   g_logger.info(""Exiting application.."") end  function onGameStart()   local player = g_game.getLocalPlayer()   if not player "
modules_Documentation.md,onGameEnd,"app.getName() .. "" - "" .. player:getName())   end  function onGameEnd()   g_window.setTitle(g_app.getName()) end ``` ---  # 📄 cli"
modules_Documentation.md,onLoad,eloadable: false   sandboxed: true   scripts: [ client ]   @onLoad: init()   @onUnload: terminate()    load-later:     - clien
modules_Documentation.md,onUnload, sandboxed: true   scripts: [ client ]   @onLoad: init()   @onUnload: terminate()    load-later:     - client_styles     - clien
modules_Documentation.md,onGameStart,"n(clientVersionLabel, 1500) end)   end    connect(g_game, { onGameStart = hide })   connect(g_game, { onGameEnd = show }) end  func"
modules_Documentation.md,onGameEnd,"connect(g_game, { onGameStart = hide })   connect(g_game, { onGameEnd = show }) end  function terminate()   disconnect(g_game, { "
modules_Documentation.md,onGameStart," = show }) end  function terminate()   disconnect(g_game, { onGameStart = hide })   disconnect(g_game, { onGameEnd = show })    g_e"
modules_Documentation.md,onGameEnd,"nect(g_game, { onGameStart = hide })   disconnect(g_game, { onGameEnd = show })    g_effects.cancelFade(background:getChildById('"
modules_Documentation.md,onLoad,art/otclient   sandboxed: true   scripts: [ background ]   @onLoad: init()   @onUnload: terminate() ``` ---  # 📄 background.ot
modules_Documentation.md,onUnload,dboxed: true   scripts: [ background ]   @onLoad: init()   @onUnload: terminate() ``` ---  # 📄 background.otui ```otui UIWidget 
modules_Documentation.md,onCancel,"), tr('Connecting to game server...'))   connect(loadBox, { onCancel = function()                                   loadBox = ni"
modules_Documentation.md,onLoginWait,"Login(charInfo)       end     end   end end  local function onLoginWait(message, time)   CharacterList.destroyLoadBox()    waitingW"
modules_Documentation.md,onGameLoginError,"vent = scheduleEvent(resendWait, time * 1000) end  function onGameLoginError(message)   CharacterList.destroyLoadBox()   errorBox = disp"
modules_Documentation.md,onOk,"ox = displayErrorBox(tr(""Login Error""), message)   errorBox.onOk = function()     errorBox = nil     CharacterList.showAgain"
modules_Documentation.md,onGameLoginToken,t.showAgain()   end   scheduleAutoReconnect() end  function onGameLoginToken(unknown)   CharacterList.destroyLoadBox()   -- TODO: make i
modules_Documentation.md,onOk,cation token is required.\nPlease login again.')   errorBox.onOk = function()     errorBox = nil     EnterGame.show()   end 
