cpp_symbol,lua_name,file,note
AnimatedText::asAnimatedText,AnimatedText:asAnimatedText,src/client/animatedtext.h,method
AnimatedText::drawText,AnimatedText:drawText,src/client/animatedtext.h,method
AnimatedText::getCachedText,AnimatedText:getCachedText,src/client/animatedtext.h,method
AnimatedText::getColor,AnimatedText:getColor,src/client/animatedtext.h,method
AnimatedText::getOffset,AnimatedText:getOffset,src/client/animatedtext.h,method
AnimatedText::getText,AnimatedText:getText,src/client/animatedtext.h,method
AnimatedText::getTimer,AnimatedText:getTimer,src/client/animatedtext.h,method
AnimatedText::isAnimatedText,AnimatedText:isAnimatedText,src/client/animatedtext.h,method
AnimatedText::merge,AnimatedText:merge,src/client/animatedtext.h,method
AnimatedText::onAppear,AnimatedText:onAppear,src/client/animatedtext.h,method
AnimatedText::setColor,AnimatedText:setColor,src/client/animatedtext.h,method
AnimatedText::setFont,AnimatedText:setFont,src/client/animatedtext.h,method
AnimatedText::setOffset,AnimatedText:setOffset,src/client/animatedtext.h,method
AnimatedText::setText,AnimatedText:setText,src/client/animatedtext.h,method
Application::close,g_app.close,src/framework/core/application.h,singleton
Application::deinit,g_app.deinit,src/framework/core/application.h,singleton
Application::exit,g_app.exit,src/framework/core/application.h,singleton
Application::getAuthor,g_app.getAuthor,src/framework/core/application.h,singleton
Application::getBuildArch,g_app.getBuildArch,src/framework/core/application.h,singleton
Application::getBuildCommit,g_app.getBuildCommit,src/framework/core/application.h,singleton
Application::getBuildCompiler,g_app.getBuildCompiler,src/framework/core/application.h,singleton
Application::getBuildDate,g_app.getBuildDate,src/framework/core/application.h,singleton
Application::getBuildRevision,g_app.getBuildRevision,src/framework/core/application.h,singleton
Application::getBuildType,g_app.getBuildType,src/framework/core/application.h,singleton
Application::getBuildType,g_app.getBuildType,src/framework/core/application.h,singleton
Application::getCharset,g_app.getCharset,src/framework/core/application.h,singleton
Application::getCompactName,g_app.getCompactName,src/framework/core/application.h,singleton
Application::getName,g_app.getName,src/framework/core/application.h,singleton
Application::getOs,g_app.getOs,src/framework/core/application.h,singleton
Application::getStartupOptions,g_app.getStartupOptions,src/framework/core/application.h,singleton
Application::getVersion,g_app.getVersion,src/framework/core/application.h,singleton
Application::init,g_app.init,src/framework/core/application.h,singleton
Application::isRunning,g_app.isRunning,src/framework/core/application.h,singleton
Application::isStopping,g_app.isStopping,src/framework/core/application.h,singleton
Application::isTerminated,g_app.isTerminated,src/framework/core/application.h,singleton
Application::poll,g_app.poll,src/framework/core/application.h,singleton
Application::quick_exit,g_app.quick_exit,src/framework/core/application.h,singleton
Application::registerLuaFunctions,g_app.registerLuaFunctions,src/framework/core/application.h,singleton
Application::restart,g_app.restart,src/framework/core/application.h,singleton
Application::restartArgs,g_app.restartArgs,src/framework/core/application.h,singleton
Application::run,g_app.run,src/framework/core/application.h,singleton
Application::setCompactName,g_app.setCompactName,src/framework/core/application.h,singleton
Application::setName,g_app.setName,src/framework/core/application.h,singleton
Application::setVersion,g_app.setVersion,src/framework/core/application.h,singleton
Application::terminate,g_app.terminate,src/framework/core/application.h,singleton
Clock::micros,g_clock.micros,src/framework/core/clock.h,singleton
Clock::millis,g_clock.millis,src/framework/core/clock.h,singleton
Clock::realMicros,g_clock.realMicros,src/framework/core/clock.h,singleton
Clock::realMillis,g_clock.realMillis,src/framework/core/clock.h,singleton
Clock::seconds,g_clock.seconds,src/framework/core/clock.h,singleton
Clock::update,g_clock.update,src/framework/core/clock.h,singleton
Config::clear,Config:clear,src/framework/core/config.h,method
Config::exists,Config:exists,src/framework/core/config.h,method
Config::getFileName,Config:getFileName,src/framework/core/config.h,method
Config::getList,Config:getList,src/framework/core/config.h,method
Config::getNode,Config:getNode,src/framework/core/config.h,method
Config::getNodeSize,Config:getNodeSize,src/framework/core/config.h,method
Config::getValue,Config:getValue,src/framework/core/config.h,method
Config::isLoaded,Config:isLoaded,src/framework/core/config.h,method
Config::load,Config:load,src/framework/core/config.h,method
