file,function,args
modules/client/client.lua,exit,
modules/client/client.lua,init,
modules/client/client.lua,onGameEnd,
modules/client/client.lua,onGameStart,
modules/client/client.lua,reloadScripts,
modules/client/client.lua,setMusic,filename
modules/client/client.lua,startup,
modules/client/client.lua,terminate,
modules/client_background/background.lua,getBackground,
modules/client_background/background.lua,hide,
modules/client_background/background.lua,hideVersionLabel,
modules/client_background/background.lua,init,
modules/client_background/background.lua,setVersionText,text
modules/client_background/background.lua,show,
modules/client_background/background.lua,terminate,
modules/client_entergame/characterlist.lua,CharacterList.cancelWait,
modules/client_entergame/characterlist.lua,CharacterList.create,"characters, account, otui"
modules/client_entergame/characterlist.lua,CharacterList.destroy,
modules/client_entergame/characterlist.lua,CharacterList.destroyLoadBox,
modules/client_entergame/characterlist.lua,CharacterList.doLogin,
modules/client_entergame/characterlist.lua,CharacterList.hide,showLogin
modules/client_entergame/characterlist.lua,CharacterList.init,
modules/client_entergame/characterlist.lua,CharacterList.isVisible,
modules/client_entergame/characterlist.lua,CharacterList.show,
modules/client_entergame/characterlist.lua,CharacterList.showAgain,
modules/client_entergame/characterlist.lua,CharacterList.terminate,
modules/client_entergame/characterlist.lua,executeAutoReconnect,
modules/client_entergame/characterlist.lua,onGameConnectionError,"message, code"
modules/client_entergame/characterlist.lua,onGameEnd,
modules/client_entergame/characterlist.lua,onGameLoginError,message
modules/client_entergame/characterlist.lua,onGameLoginToken,unknown
modules/client_entergame/characterlist.lua,onGameUpdateNeeded,signature
modules/client_entergame/characterlist.lua,onLoginWait,"message, time"
modules/client_entergame/characterlist.lua,onLogout,
modules/client_entergame/characterlist.lua,resendWait,
modules/client_entergame/characterlist.lua,scheduleAutoReconnect,
modules/client_entergame/characterlist.lua,tryLogin,"charInfo, tries"
modules/client_entergame/characterlist.lua,updateWait,"timeStart, timeEnd"
modules/client_entergame/entergame.lua,EnterGame.clearAccountFields,
modules/client_entergame/entergame.lua,EnterGame.doLogin,"account, password, token, host"
modules/client_entergame/entergame.lua,EnterGame.doLoginHttp,
modules/client_entergame/entergame.lua,EnterGame.hide,
modules/client_entergame/entergame.lua,EnterGame.init,
modules/client_entergame/entergame.lua,EnterGame.onError,err
modules/client_entergame/entergame.lua,EnterGame.onLoginError,err
modules/client_entergame/entergame.lua,EnterGame.onServerChange,
modules/client_entergame/entergame.lua,EnterGame.openWindow,
modules/client_entergame/entergame.lua,EnterGame.show,
modules/client_entergame/entergame.lua,EnterGame.terminate,
modules/client_entergame/entergame.lua,onCharacterList,"protocol, characters, account, otui"
modules/client_entergame/entergame.lua,onHTTPResult,"data, err"
modules/client_entergame/entergame.lua,onProtocolError,"protocol, message, errorCode"
modules/client_entergame/entergame.lua,onProxyList,"protocol, proxies"
modules/client_entergame/entergame.lua,onSessionKey,"protocol, sessionKey"
modules/client_entergame/entergame.lua,onTibia12HTTPResult,"session, playdata"
modules/client_entergame/entergame.lua,onUpdateNeeded,"protocol, signature"
modules/client_entergame/entergame.lua,parseFeatures,features
modules/client_entergame/entergame.lua,validateThings,things
modules/client_feedback/feedback.lua,hide,
modules/client_feedback/feedback.lua,init,
modules/client_feedback/feedback.lua,send,
modules/client_feedback/feedback.lua,show,
modules/client_feedback/feedback.lua,terminate,
modules/client_locales/locales.lua,_G.tr,"text, ..."
modules/client_locales/locales.lua,createWindow,
modules/client_locales/locales.lua,generateNewTranslationTable,localename
modules/client_locales/locales.lua,getCurrentLocale,
modules/client_locales/locales.lua,getInstalledLocales,
modules/client_locales/locales.lua,init,
modules/client_locales/locales.lua,installLocale,locale
modules/client_locales/locales.lua,installLocales,directory
modules/client_locales/locales.lua,selectFirstLocale,name
modules/client_locales/locales.lua,setLocale,name
modules/client_locales/locales.lua,terminate,
modules/client_mobile/mobile.lua,executeWalk,
modules/client_mobile/mobile.lua,hide,
modules/client_mobile/mobile.lua,init,
modules/client_mobile/mobile.lua,offline,
modules/client_mobile/mobile.lua,onKeypadTouchMove,"widget, pos, offset"
modules/client_mobile/mobile.lua,onKeypadTouchPress,"widget, pos, button"
modules/client_mobile/mobile.lua,onKeypadTouchRelease,"widget, pos, button"
modules/client_mobile/mobile.lua,onMouseMove,"widget, pos, offset"
modules/client_mobile/mobile.lua,onMousePress,"widget, pos, button"
modules/client_mobile/mobile.lua,onMouseRelease,"widget, pos, button"
modules/client_mobile/mobile.lua,online,
modules/client_mobile/mobile.lua,show,
modules/client_mobile/mobile.lua,terminate,
modules/client_mobile/mobile.lua,updateCursor,
modules/client_options/options.lua,addButton,"name, func, icon"
modules/client_options/options.lua,addTab,"name, panel, icon"
modules/client_options/options.lua,getOption,key
modules/client_options/options.lua,hide,
modules/client_options/options.lua,init,
modules/client_options/options.lua,offline,
modules/client_options/options.lua,online,
modules/client_options/options.lua,setLightOptionsVisibility,value
modules/client_options/options.lua,setOption,"key, value, force"
modules/client_options/options.lua,setup,
modules/client_options/options.lua,show,
modules/client_options/options.lua,terminate,
modules/client_options/options.lua,toggle,
modules/client_options/options.lua,toggleDisplays,
modules/client_options/options.lua,toggleOption,key
modules/client_profiles/profiles.lua,collectiveReload,
modules/client_profiles/profiles.lua,getProfileFromSettings,
modules/client_profiles/profiles.lua,getProfileFromStartupArgument,
modules/client_profiles/profiles.lua,getSettingsFilePath,fileNameWithFormat
modules/client_profiles/profiles.lua,init,
modules/client_profiles/profiles.lua,load,
modules/client_profiles/profiles.lua,offline,
modules/client_profiles/profiles.lua,onProfileChange,offline
modules/client_profiles/profiles.lua,online,
modules/client_profiles/profiles.lua,save,
modules/client_profiles/profiles.lua,setProfileOption,index
modules/client_profiles/profiles.lua,terminate,
modules/client_stats/stats.lua,init,
modules/client_stats/stats.lua,monitor,
modules/client_stats/stats.lua,onClose,
modules/client_stats/stats.lua,sendStats,
modules/client_stats/stats.lua,terminate,
modules/client_stats/stats.lua,toggle,
modules/client_stats/stats.lua,update,
modules/client_styles/styles.lua,init,
modules/client_styles/styles.lua,terminate,
modules/client_terminal/commands.lua,about_graphics,
modules/client_terminal/commands.lua,about_modules,
modules/client_terminal/commands.lua,about_version,
modules/client_terminal/commands.lua,clear,
modules/client_terminal/commands.lua,draw_debug_boxes,
modules/client_terminal/commands.lua,hide_map,
modules/client_terminal/commands.lua,ls,path
modules/client_terminal/commands.lua,pcolored,"text, color"
modules/client_terminal/commands.lua,ping,
modules/client_terminal/commands.lua,pingBack,ping
modules/client_terminal/commands.lua,show_map,
modules/client_terminal/terminal.lua,addLine,"text, color"
modules/client_terminal/terminal.lua,addNewline,textWidget
modules/client_terminal/terminal.lua,clear,
modules/client_terminal/terminal.lua,completeCommand,
modules/client_terminal/terminal.lua,disable,
modules/client_terminal/terminal.lua,doCommand,textWidget
modules/client_terminal/terminal.lua,executeCommand,command
modules/client_terminal/terminal.lua,flushLines,
modules/client_terminal/terminal.lua,hide,
modules/client_terminal/terminal.lua,hideButton,
modules/client_terminal/terminal.lua,init,
modules/client_terminal/terminal.lua,navigateCommand,step
modules/client_terminal/terminal.lua,onCommandChange,"textWidget, newText, oldText"
modules/client_terminal/terminal.lua,onLog,"level, message, time"
modules/client_terminal/terminal.lua,popWindow,
modules/client_terminal/terminal.lua,show,
modules/client_terminal/terminal.lua,terminalPrint,value
modules/client_terminal/terminal.lua,terminate,
modules/client_terminal/terminal.lua,toggle,
modules/client_textedit/textedit.lua,destroyWindow,
modules/client_textedit/textedit.lua,edit,...
modules/client_textedit/textedit.lua,hide,
modules/client_textedit/textedit.lua,init,
modules/client_textedit/textedit.lua,multilineEditor,"description, text, callback"
modules/client_textedit/textedit.lua,show,"text, options, callback"
modules/client_textedit/textedit.lua,singlelineEditor,"text, callback"
modules/client_textedit/textedit.lua,terminate,
modules/client_topmenu/topmenu.lua,addButton,"id, description, icon, callback, panel, toggle, front, index"
modules/client_topmenu/topmenu.lua,addLeftButton,"id, description, icon, callback, front, index"
modules/client_topmenu/topmenu.lua,addLeftGameButton,"id, description, icon, callback, front, index"
modules/client_topmenu/topmenu.lua,addLeftGameToggleButton,"id, description, icon, callback, front, index"
modules/client_topmenu/topmenu.lua,addLeftToggleButton,"id, description, icon, callback, front, index"
modules/client_topmenu/topmenu.lua,addRightButton,"id, description, icon, callback, front, index"
modules/client_topmenu/topmenu.lua,addRightGameButton,"id, description, icon, callback, front, index"
modules/client_topmenu/topmenu.lua,addRightGameToggleButton,"id, description, icon, callback, front, index"
modules/client_topmenu/topmenu.lua,addRightToggleButton,"id, description, icon, callback, front, index"
modules/client_topmenu/topmenu.lua,getButton,id
modules/client_topmenu/topmenu.lua,getTopMenu,
modules/client_topmenu/topmenu.lua,hide,
modules/client_topmenu/topmenu.lua,hideGameButtons,
modules/client_topmenu/topmenu.lua,init,
modules/client_topmenu/topmenu.lua,offline,
modules/client_topmenu/topmenu.lua,online,
modules/client_topmenu/topmenu.lua,setFpsVisible,enable
modules/client_topmenu/topmenu.lua,setPingVisible,enable
modules/client_topmenu/topmenu.lua,show,
modules/client_topmenu/topmenu.lua,showGameButtons,
modules/client_topmenu/topmenu.lua,terminate,
modules/client_topmenu/topmenu.lua,toggle,
modules/client_topmenu/topmenu.lua,updateFps,
modules/client_topmenu/topmenu.lua,updatePing,ping
modules/client_topmenu/topmenu.lua,updateStatus,
modules/corelib/base64.lua,base64.decode," b64, decoder, usecaching "
modules/corelib/base64.lua,base64.encode," str, encoder, usecaching "
modules/corelib/base64.lua,base64.makedecoder," s62, s63, spad "
modules/corelib/base64.lua,base64.makeencoder," s62, s63, spad "
modules/corelib/bitwise.lua,Bit.bit,p
modules/corelib/bitwise.lua,Bit.clearbit,"x, p"
modules/corelib/bitwise.lua,Bit.hasBit,"x, p"
modules/corelib/bitwise.lua,Bit.setbit,"x, p"
modules/corelib/config.lua,Config:get,"key, default"
modules/corelib/config.lua,Config:getBoolean,"key, default"
modules/corelib/config.lua,Config:getColor,"key, default"
modules/corelib/config.lua,Config:getInteger,"key, default"
modules/corelib/config.lua,Config:getNumber,"key, default"
modules/corelib/config.lua,Config:getPoint,"key, default"
modules/corelib/config.lua,Config:getRect,"key, default"
modules/corelib/config.lua,Config:getSize,"key, default"
modules/corelib/config.lua,Config:getString,"key, default"
modules/corelib/config.lua,Config:set,"key, value"
modules/corelib/config.lua,Config:setDefault,"key, value"
modules/corelib/config.lua,convertSettingValue,value
modules/corelib/globals.lua,addEvent,"callback, front"
modules/corelib/globals.lua,cycleEvent,"callback, interval"
modules/corelib/globals.lua,periodicalEvent,"eventFunc, conditionFunc, delay, autoRepeatDelay"
modules/corelib/globals.lua,removeEvent,event
modules/corelib/globals.lua,scheduleEvent,"callback, delay"
modules/corelib/http.lua,HTTP.cancel,operationId
modules/corelib/http.lua,HTTP.download,"url, file, callback, progressCallback"
modules/corelib/http.lua,HTTP.downloadImage,"url, callback"
modules/corelib/http.lua,HTTP.get,"url, callback"
modules/corelib/http.lua,HTTP.getJSON,"url, callback"
modules/corelib/http.lua,HTTP.onDownload,"operationId, url, err, path, checksum"
modules/corelib/http.lua,HTTP.onDownloadProgress,"operationId, url, progress, speed"
modules/corelib/http.lua,HTTP.onGet,"operationId, url, err, data"
modules/corelib/http.lua,HTTP.onGetProgress,"operationId, url, progress"
modules/corelib/http.lua,HTTP.onPost,"operationId, url, err, data"
modules/corelib/http.lua,HTTP.onPostProgress,"operationId, url, progress"
modules/corelib/http.lua,HTTP.onWsClose,"operationId, message"
modules/corelib/http.lua,HTTP.onWsError,"operationId, message"
modules/corelib/http.lua,HTTP.onWsMessage,"operationId, message"
modules/corelib/http.lua,HTTP.onWsOpen,"operationId, message"
modules/corelib/http.lua,HTTP.post,"url, data, callback"
modules/corelib/http.lua,HTTP.postJSON,"url, data, callback"
modules/corelib/http.lua,HTTP.webSocket,"url, callbacks, timeout, jsonWebsocket"
modules/corelib/http.lua,HTTP.webSocketJSON,"url, callbacks, timeout"
modules/corelib/inputmessage.lua,InputMessage:getColor,
modules/corelib/inputmessage.lua,InputMessage:getData,
modules/corelib/inputmessage.lua,InputMessage:getPosition,
modules/corelib/inputmessage.lua,InputMessage:getTable,
modules/corelib/json.lua,codepoint_to_utf8,n
modules/corelib/json.lua,create_set,...
modules/corelib/json.lua,decode_error,"str, idx, msg"
modules/corelib/json.lua,encode_nil,
modules/corelib/json.lua,encode_number,val
modules/corelib/json.lua,encode_string,val
modules/corelib/json.lua,encode_table,"val, state"
modules/corelib/json.lua,escape_char,c
modules/corelib/json.lua,json.decode,str
modules/corelib/json.lua,json.encode,"val, indent"
modules/corelib/json.lua,make_indent,state
modules/corelib/json.lua,next_char,"str, idx, set, negate"
modules/corelib/json.lua,parse_array,"str, i"
modules/corelib/json.lua,parse_literal,"str, i"
modules/corelib/json.lua,parse_number,"str, i"
modules/corelib/json.lua,parse_object,"str, i"
modules/corelib/json.lua,parse_string,"str, i"
modules/corelib/json.lua,parse_unicode_escape,s
modules/corelib/keyboard.lua,connectKeyDownEvent,widget
modules/corelib/keyboard.lua,connectKeyPressEvent,widget
modules/corelib/keyboard.lua,connectKeyUpEvent,widget
modules/corelib/keyboard.lua,determineKeyComboDesc,"keyCode, keyboardModifiers"
modules/corelib/keyboard.lua,g_keyboard.areKeysPressed,keyComboDesc
modules/corelib/keyboard.lua,g_keyboard.bindKeyDown,"keyComboDesc, callback, widget, alone"
modules/corelib/keyboard.lua,g_keyboard.bindKeyPress,"keyComboDesc, callback, widget"
modules/corelib/keyboard.lua,g_keyboard.bindKeyUp,"keyComboDesc, callback, widget, alone"
modules/corelib/keyboard.lua,g_keyboard.getModifiers,
modules/corelib/keyboard.lua,g_keyboard.isAltPressed,
modules/corelib/keyboard.lua,g_keyboard.isCtrlPressed,
modules/corelib/keyboard.lua,g_keyboard.isInUse,
modules/corelib/keyboard.lua,g_keyboard.isKeyPressed,key
modules/corelib/keyboard.lua,g_keyboard.isKeySetPressed,"keys, all"
modules/corelib/keyboard.lua,g_keyboard.isShiftPressed,
modules/corelib/keyboard.lua,g_keyboard.unbindKeyDown,"keyComboDesc, arg1, arg2"
modules/corelib/keyboard.lua,g_keyboard.unbindKeyPress,"keyComboDesc, arg1, arg2"
modules/corelib/keyboard.lua,g_keyboard.unbindKeyUp,"keyComboDesc, arg1, arg2"
modules/corelib/keyboard.lua,getKeyCode,key
modules/corelib/keyboard.lua,getUnbindArgs,"arg1, arg2"
modules/corelib/keyboard.lua,onWidgetKeyDown,"widget, keyCode, keyboardModifiers"
modules/corelib/keyboard.lua,onWidgetKeyPress,"widget, keyCode, keyboardModifiers, autoRepeatTicks"
modules/corelib/keyboard.lua,onWidgetKeyUp,"widget, keyCode, keyboardModifiers"
modules/corelib/keyboard.lua,retranslateKeyComboDesc,keyComboDesc
modules/corelib/keyboard.lua,translateKeyCombo,keyCombo
modules/corelib/math.lua,math.isinteger,num
modules/corelib/math.lua,math.isu16,num
modules/corelib/math.lua,math.isu32,num
modules/corelib/math.lua,math.isu64,num
modules/corelib/math.lua,math.isu8,num
modules/corelib/math.lua,math.round,"num, idp"
modules/corelib/mouse.lua,g_mouse.bindAutoPress,"widget, callback, delay, button"
modules/corelib/mouse.lua,g_mouse.bindPress,"widget, callback, button"
modules/corelib/mouse.lua,g_mouse.bindPressMove,"widget, callback"
modules/corelib/net.lua,translateNetworkError,"errcode, connecting, errdesc"
modules/corelib/orderedtable.lua,__genOrderedIndex, t 
modules/corelib/orderedtable.lua,orderedNext,"t, state"
modules/corelib/orderedtable.lua,orderedPairs,t
modules/corelib/outputmessage.lua,OutputMessage:addColor,color
modules/corelib/outputmessage.lua,OutputMessage:addData,data
modules/corelib/outputmessage.lua,OutputMessage:addPosition,position
modules/corelib/outputmessage.lua,OutputMessage:addTable,data
modules/corelib/string.lua,string:contains,"str, checkCase, start, plain"
modules/corelib/string.lua,string:ends,test
modules/corelib/string.lua,string:explode,"sep, limit"
modules/corelib/string.lua,string:split,delim
modules/corelib/string.lua,string:starts,start
modules/corelib/string.lua,string:trim,
modules/corelib/struct.lua,Struct.pack,"format, ..."
