file,lines,bytes
src/main.cpp,159,5470
src/resource.h,16,434
src/android/android_native_app_glue.cpp,437,16648
src/android/android_native_app_glue.h,344,11669
src/android/dependencies.cpp,29,860
src/android/pch.h,28,601
src/client/animatedtext.cpp,106,3379
src/client/animatedtext.h,65,2267
src/client/animator.cpp,244,6976
src/client/animator.h,87,2460
src/client/client.cpp,60,2008
src/client/client.h,38,1374
src/client/const.h,652,18709
src/client/container.cpp,143,4065
src/client/container.h,80,2878
src/client/creature.cpp,1216,40898
src/client/creature.h,308,11616
src/client/creatures.cpp,426,13755
src/client/creatures.h,147,4978
src/client/declarations.h,125,4481
src/client/effect.cpp,98,3538
src/client/effect.h,59,2030
src/client/game.cpp,1673,46064
src/client/game.h,484,19595
src/client/global.h,32,1309
src/client/healthbars.cpp,146,3700
src/client/healthbars.h,99,2953
src/client/houses.cpp,210,6444
src/client/houses.h,113,3581
src/client/item.cpp,450,13570
src/client/item.h,187,6720
src/client/itemtype.cpp,93,3388
src/client/itemtype.h,162,6045
src/client/lightview.cpp,94,4469
src/client/lightview.h,66,2391
src/client/localplayer.cpp,669,20097
src/client/localplayer.h,205,7579
src/client/luafunctions_client.cpp,976,77005
src/client/luavaluecasts_client.cpp,349,11491
src/client/luavaluecasts_client.h,62,2170
src/client/map.cpp,1390,47698
src/client/map.h,307,11092
src/client/mapio.cpp,538,21446
src/client/mapview.cpp,663,24546
src/client/mapview.h,171,6660
src/client/minimap.cpp,456,14908
src/client/minimap.h,125,5068
src/client/missile.cpp,103,3388
src/client/missile.h,63,2062
src/client/outfit.cpp,484,20041
src/client/outfit.h,119,4664
src/client/player.cpp,23,1177
src/client/player.h,39,1426
src/client/position.h,273,9025
src/client/protocolcodes.cpp,196,10204
src/client/protocolcodes.h,361,16249
src/client/protocolgame.cpp,88,2958
src/client/protocolgame.h,336,17606
src/client/protocolgameparse.cpp,3654,117030
src/client/protocolgamesend.cpp,1221,33097
src/client/spritemanager.cpp,507,16378
src/client/spritemanager.h,77,2540
src/client/statictext.cpp,169,5700
src/client/statictext.h,77,2828
src/client/thing.cpp,114,3102
src/client/thing.h,157,7632
src/client/thingstype.h,67,2221
src/client/thingtype.cpp,902,35687
src/client/thingtype.h,323,12703
src/client/thingtypemanager.cpp,497,16944
src/client/thingtypemanager.h,119,4173
src/client/tile.cpp,912,27082
src/client/tile.h,197,6444
src/client/towns.cpp,80,2607
src/client/towns.h,73,2260
src/client/uicreature.cpp,134,4997
src/client/uicreature.h,69,2652
src/client/uigraph.cpp,85,2690
src/client/uigraph.h,44,860
src/client/uiitem.cpp,155,4618
src/client/uiitem.h,67,2559
src/client/uimap.cpp,236,6726
src/client/uimap.h,121,5327
src/client/uimapanchorlayout.cpp,92,3800
src/client/uimapanchorlayout.h,55,2320
src/client/uiminimap.cpp,157,4785
src/client/uiminimap.h,76,2818
src/client/uiprogressrect.cpp,96,3947
src/client/uiprogressrect.h,45,1611
src/client/uisprite.cpp,86,2894
src/client/uisprite.h,56,1954
src/client/walkmatrix.h,141,3643
src/framework/const.h,299,8326
src/framework/global.h,56,1850
src/framework/luafunctions.cpp,955,73655
src/framework/pch.h,93,2606
src/framework/core/adaptiverenderer.cpp,91,2341
src/framework/core/adaptiverenderer.h,50,737
src/framework/core/application.cpp,227,5519
src/framework/core/application.h,97,3385
src/framework/core/asyncdispatcher.cpp,71,2097
src/framework/core/asyncdispatcher.h,65,2289
src/framework/core/binarytree.cpp,216,5424
src/framework/core/binarytree.h,89,2529
src/framework/core/clock.cpp,49,1577
src/framework/core/clock.h,51,1668
src/framework/core/config.cpp,170,4100
src/framework/core/config.h,66,2261
src/framework/core/configmanager.cpp,130,3287
src/framework/core/configmanager.h,54,1755
src/framework/core/consoleapplication.cpp,55,1735
src/framework/core/consoleapplication.h,40,1373
src/framework/core/declarations.h,49,1934
src/framework/core/event.cpp,55,1777
src/framework/core/event.h,52,1806
src/framework/core/eventdispatcher.cpp,161,5978
src/framework/core/eventdispatcher.h,66,2662
src/framework/core/filestream.cpp,547,13950
src/framework/core/filestream.h,94,2950
