file,enum
src/client/const.h,DepthConst
src/client/const.h,DrawFlags
src/client/const.h,DatOpts
src/client/const.h,InventorySlot
src/client/const.h,Statistic
src/client/const.h,Skill
src/client/const.h,Direction
src/client/const.h,FluidsColor
src/client/const.h,FluidsType
src/client/const.h,FightModes
src/client/const.h,ChaseModes
src/client/const.h,PVPModes
src/client/const.h,PlayerSkulls
src/client/const.h,PlayerShields
src/client/const.h,PlayerEmblems
src/client/const.h,CreatureIcons
src/client/const.h,PlayerStates
src/client/const.h,MessageMode
src/client/const.h,GameFeature
src/client/const.h,PathFindResult
src/client/const.h,PathFindFlags
src/client/const.h,AutomapFlags
src/client/const.h,VipState
src/client/const.h,SpeedFormula
src/client/const.h,Blessings
src/client/const.h,DeathType
src/client/const.h,StoreProductTypes
src/client/const.h,StoreErrorTypes
src/client/const.h,StoreStates
src/client/const.h,PreyConfigState
src/client/itemtype.h,ClientVersion
src/client/map.h,OTBM_ItemAttr
src/client/map.h,OTBM_NodeTypes_t
src/client/minimap.h,MinimapTileFlags
src/client/protocolcodes.h,LoginServerOpts
src/client/protocolcodes.h,ItemOpcode
src/client/protocolcodes.h,CreatureType
src/client/protocolcodes.h,CreaturesIdRange
src/client/thingstype.h,Categories
src/client/thingtype.h,SpriteMask
src/client/tile.h,tileflags_t
src/framework/const.h,LogLevel
src/framework/const.h,AspectRatioMode
src/framework/const.h,AlignmentFlag
src/framework/const.h,AnchorEdge
src/framework/const.h,FocusReason
src/framework/const.h,AutoFocusPolicy
src/framework/const.h,InputEventType
src/framework/const.h,MouseButton
src/framework/const.h,MouseWheelDirection
src/framework/const.h,KeyboardModifier
src/framework/const.h,WidgetState
src/framework/const.h,DrawPane
src/framework/graphics/graph.h,GraphType
src/framework/graphics/hardwarebuffer.h,Type
src/framework/graphics/hardwarebuffer.h,UsagePattern
src/framework/graphics/painter.h,BlendEquation
src/framework/graphics/painter.h,CompositionMode
src/framework/graphics/painter.h,DepthFunc
src/framework/graphics/painter.h,DrawMode
src/framework/graphics/shader.h,ShaderType
src/framework/http/websocket.h,WebsocketCallbackType
src/framework/platform/androidwindow.h,EventType
src/framework/platform/androidwindow.h,NativeMessage
src/framework/platform/sdlwindow.h,EventType
src/framework/platform/sdlwindow.h,NativeMessage
src/framework/proxy/proxy_client.h,ProxyState
src/framework/sound/soundsource.h,FadeState
src/framework/sound/streamsoundsource.h,DownMix
src/framework/util/qrcodegen.h,qrcodegen_Ecc
src/framework/util/qrcodegen.h,qrcodegen_Mask
src/framework/util/qrcodegen.h,qrcodegen_Mode
src/framework/util/stats.h,StatsTypes
src/framework/xml/tinyxml.h,TiXmlEncoding
src/framework/xml/tinyxml.h,NodeType
