file,name,return_type,args
src/main.cpp,main,int,"int argc, const char* argv[]"
src/main.cpp,args,std::vector<std::string>,"argv, argv + argc"
src/main.cpp,installCrashHandler,,
src/main.cpp,MessageBoxA,,"NULL, ""Encryption complete"", ""Success"", 0"
src/main.cpp,if,,testMode
src/main.cpp,if,,testMode
src/main.cpp,LoadLibraryA,,"""progdn32.dll"""
src/main.cpp,uninstallCrashHandler,,
src/main.cpp,android_main,void,struct android_app* state
src/main.cpp,main,,"1, args"
src/main.cpp,std::exit,,0
src/android/android_native_app_glue.cpp,free_saved_state,static void,struct android_app* android_app
src/android/android_native_app_glue.cpp,pthread_mutex_lock,,&android_app->mutex
src/android/android_native_app_glue.cpp,if,,android_app->savedState != NULL
src/android/android_native_app_glue.cpp,free,,android_app->savedState
src/android/android_native_app_glue.cpp,pthread_mutex_unlock,,&android_app->mutex
src/android/android_native_app_glue.cpp,switch,,cmd
src/android/android_native_app_glue.cpp,free_saved_state,case APP_CMD_SAVE_STATE:,android_app
src/android/android_native_app_glue.cpp,LOGE,,"""No data on command pipe!"""
src/android/android_native_app_glue.cpp,print_cur_config,static void,struct android_app* android_app
src/android/android_native_app_glue.cpp,AConfiguration_getLanguage,,"android_app->config, lang"
src/android/android_native_app_glue.cpp,AConfiguration_getCountry,,"android_app->config, country"
src/android/android_native_app_glue.cpp,android_app_pre_exec_cmd,void,"struct android_app* android_app, int8_t cmd"
src/android/android_native_app_glue.cpp,switch,,cmd
src/android/android_native_app_glue.cpp,LOGV,case APP_CMD_INPUT_CHANGED:,"""APP_CMD_INPUT_CHANGED\n"""
src/android/android_native_app_glue.cpp,pthread_mutex_lock,,&android_app->mutex
src/android/android_native_app_glue.cpp,if,,android_app->inputQueue != NULL
src/android/android_native_app_glue.cpp,AInputQueue_detachLooper,,android_app->inputQueue
src/android/android_native_app_glue.cpp,if,,android_app->inputQueue != NULL
src/android/android_native_app_glue.cpp,LOGV,,"""Attaching input queue to looper"""
src/android/android_native_app_glue.cpp,AInputQueue_attachLooper,,"android_app->inputQueue, android_app->looper, LOOPER_ID_INPUT, NULL, &android_app->inputPollSource"
src/android/android_native_app_glue.cpp,pthread_cond_broadcast,,&android_app->cond
src/android/android_native_app_glue.cpp,pthread_mutex_unlock,,&android_app->mutex
src/android/android_native_app_glue.cpp,LOGV,case APP_CMD_INIT_WINDOW:,"""APP_CMD_INIT_WINDOW\n"""
src/android/android_native_app_glue.cpp,pthread_mutex_lock,,&android_app->mutex
src/android/android_native_app_glue.cpp,pthread_cond_broadcast,,&android_app->cond
src/android/android_native_app_glue.cpp,pthread_mutex_unlock,,&android_app->mutex
src/android/android_native_app_glue.cpp,LOGV,case APP_CMD_TERM_WINDOW:,"""APP_CMD_TERM_WINDOW\n"""
src/android/android_native_app_glue.cpp,pthread_cond_broadcast,,&android_app->cond
src/android/android_native_app_glue.cpp,LOGV,case APP_CMD_RESUME: case APP_CMD_START: case APP_CMD_PAUSE: case APP_CMD_STOP:,"""activityState=%d\n"", cmd"
src/android/android_native_app_glue.cpp,pthread_mutex_lock,,&android_app->mutex
src/android/android_native_app_glue.cpp,pthread_cond_broadcast,,&android_app->cond
src/android/android_native_app_glue.cpp,pthread_mutex_unlock,,&android_app->mutex
src/android/android_native_app_glue.cpp,LOGV,case APP_CMD_CONFIG_CHANGED:,"""APP_CMD_CONFIG_CHANGED\n"""
src/android/android_native_app_glue.cpp,AConfiguration_fromAssetManager,,"android_app->config, android_app->activity->assetManager"
src/android/android_native_app_glue.cpp,print_cur_config,,android_app
src/android/android_native_app_glue.cpp,LOGV,case APP_CMD_DESTROY:,"""APP_CMD_DESTROY\n"""
src/android/android_native_app_glue.cpp,android_app_post_exec_cmd,void,"struct android_app* android_app, int8_t cmd"
src/android/android_native_app_glue.cpp,switch,,cmd
src/android/android_native_app_glue.cpp,LOGV,case APP_CMD_TERM_WINDOW:,"""APP_CMD_TERM_WINDOW\n"""
src/android/android_native_app_glue.cpp,pthread_mutex_lock,,&android_app->mutex
src/android/android_native_app_glue.cpp,pthread_cond_broadcast,,&android_app->cond
src/android/android_native_app_glue.cpp,pthread_mutex_unlock,,&android_app->mutex
src/android/android_native_app_glue.cpp,LOGV,case APP_CMD_SAVE_STATE:,"""APP_CMD_SAVE_STATE\n"""
src/android/android_native_app_glue.cpp,pthread_mutex_lock,,&android_app->mutex
src/android/android_native_app_glue.cpp,pthread_cond_broadcast,,&android_app->cond
src/android/android_native_app_glue.cpp,pthread_mutex_unlock,,&android_app->mutex
src/android/android_native_app_glue.cpp,free_saved_state,case APP_CMD_RESUME:,android_app
src/android/android_native_app_glue.cpp,android_app_destroy,static void,struct android_app* android_app
src/android/android_native_app_glue.cpp,LOGV,,"""android_app_destroy!"""
src/android/android_native_app_glue.cpp,free_saved_state,,android_app
src/android/android_native_app_glue.cpp,pthread_mutex_lock,,&android_app->mutex
src/android/android_native_app_glue.cpp,if,,android_app->inputQueue != NULL
src/android/android_native_app_glue.cpp,AInputQueue_detachLooper,,android_app->inputQueue
src/android/android_native_app_glue.cpp,AConfiguration_delete,,android_app->config
src/android/android_native_app_glue.cpp,pthread_cond_broadcast,,&android_app->cond
src/android/android_native_app_glue.cpp,pthread_mutex_unlock,,&android_app->mutex
src/android/android_native_app_glue.cpp,process_input,static void,"struct android_app* app, struct android_poll_source* source"
src/android/android_native_app_glue.cpp,AInputQueue_finishEvent,,"app->inputQueue, event, handled"
src/android/android_native_app_glue.cpp,process_cmd,static void,"struct android_app* app, struct android_poll_source* source"
src/android/android_native_app_glue.cpp,android_app_pre_exec_cmd,,"app, cmd"
src/android/android_native_app_glue.cpp,android_app_post_exec_cmd,,"app, cmd"
src/android/android_native_app_glue.cpp,android_app_entry,static void*,void* param
src/android/android_native_app_glue.cpp,AConfiguration_fromAssetManager,,"android_app->config, android_app->activity->assetManager"
src/android/android_native_app_glue.cpp,print_cur_config,,android_app
src/android/android_native_app_glue.cpp,ALooper_addFd,,"looper, android_app->msgread, LOOPER_ID_MAIN, ALOOPER_EVENT_INPUT, NULL, &android_app->cmdPollSource"
src/android/android_native_app_glue.cpp,pthread_mutex_lock,,&android_app->mutex
src/android/android_native_app_glue.cpp,pthread_cond_broadcast,,&android_app->cond
src/android/android_native_app_glue.cpp,pthread_mutex_unlock,,&android_app->mutex
src/android/android_native_app_glue.cpp,android_main,,android_app
src/android/android_native_app_glue.cpp,android_app_destroy,,android_app
src/android/android_native_app_glue.cpp,android_app_create,static struct android_app*,"ANativeActivity* activity, void* savedState, size_t savedStateSize"
src/android/android_native_app_glue.cpp,pthread_mutex_init,,"&android_app->mutex, NULL"
src/android/android_native_app_glue.cpp,pthread_cond_init,,"&android_app->cond, NULL"
src/android/android_native_app_glue.cpp,if,,savedState != NULL
src/android/android_native_app_glue.cpp,memcpy,,"android_app->savedState, savedState, savedStateSize"
src/android/android_native_app_glue.cpp,pthread_attr_init,,&attr
