from_file,to_include,kind
src/main.cpp,framework/core/application.h,system
src/main.cpp,framework/core/resourcemanager.h,system
src/main.cpp,framework/core/eventdispatcher.h,system
src/main.cpp,framework/luaengine/luainterface.h,system
src/main.cpp,framework/http/http.h,system
src/main.cpp,framework/platform/crashhandler.h,system
src/main.cpp,framework/platform/platformwindow.h,system
src/main.cpp,client/client.h,system
src/main.cpp,framework/platform/androidwindow.h,system
src/android/android_native_app_glue.cpp,jni.h,system
src/android/android_native_app_glue.cpp,errno.h,system
src/android/android_native_app_glue.cpp,stdlib.h,system
src/android/android_native_app_glue.cpp,string.h,system
src/android/android_native_app_glue.cpp,unistd.h,system
src/android/android_native_app_glue.cpp,sys/resource.h,system
src/android/android_native_app_glue.cpp,android_native_app_glue.h,local
src/android/android_native_app_glue.cpp,android/log.h,system
src/android/android_native_app_glue.h,poll.h,system
src/android/android_native_app_glue.h,pthread.h,system
src/android/android_native_app_glue.h,sched.h,system
src/android/android_native_app_glue.h,android/configuration.h,system
src/android/android_native_app_glue.h,android/looper.h,system
src/android/android_native_app_glue.h,android/native_activity.h,system
src/android/dependencies.cpp,android/api-level.h,system
src/android/dependencies.cpp,android/log.h,system
src/android/dependencies.cpp,signal.h,system
src/android/dependencies.cpp,dlfcn.h,system
src/android/pch.h,jni.h,system
src/android/pch.h,errno.h,system
src/android/pch.h,string.h,system
src/android/pch.h,unistd.h,system
src/android/pch.h,sys/resource.h,system
src/android/pch.h,EGL/egl.h,system
src/android/pch.h,GLES/gl.h,system
src/android/pch.h,android/sensor.h,system
src/android/pch.h,android/log.h,system
src/android/pch.h,android/native_window.h,system
src/android/pch.h,android/native_window_jni.h,system
src/android/pch.h,android_native_app_glue.h,local
src/client/animatedtext.cpp,animatedtext.h,local
src/client/animatedtext.cpp,map.h,local
src/client/animatedtext.cpp,game.h,local
src/client/animatedtext.cpp,framework/core/clock.h,system
src/client/animatedtext.cpp,framework/core/eventdispatcher.h,system
src/client/animatedtext.cpp,framework/graphics/graphics.h,system
src/client/animatedtext.h,thing.h,local
src/client/animatedtext.h,framework/graphics/fontmanager.h,system
src/client/animatedtext.h,framework/core/timer.h,system
src/client/animatedtext.h,framework/graphics/cachedtext.h,system
src/client/animator.cpp,declarations.h,local
src/client/animator.cpp,animator.h,local
src/client/animator.cpp,framework/core/clock.h,system
src/client/animator.cpp,framework/core/filestream.h,system
src/client/animator.cpp,framework/util/extras.h,system
src/client/animator.cpp,framework/stdext/fastrand.h,system
src/client/animator.h,declarations.h,local
src/client/animator.h,framework/core/declarations.h,system
src/client/animator.h,framework/core/timer.h,system
src/client/client.cpp,client.h,local
src/client/client.cpp,framework/core/modulemanager.h,system
src/client/client.cpp,framework/core/resourcemanager.h,system
src/client/client.cpp,framework/graphics/graphics.h,system
src/client/client.cpp,framework/graphics/shadermanager.h,system
src/client/client.cpp,game.h,local
src/client/client.cpp,map.h,local
src/client/client.cpp,spritemanager.h,local
src/client/client.cpp,minimap.h,local
src/client/client.cpp,healthbars.h,local
src/client/client.cpp,framework/core/configmanager.h,system
src/client/client.h,global.h,local
src/client/const.h,cstdint,system
src/client/container.cpp,container.h,local
src/client/container.cpp,item.h,local
src/client/container.h,declarations.h,local
src/client/container.h,item.h,local
src/client/container.h,framework/luaengine/luaobject.h,system
src/client/creature.cpp,creature.h,local
src/client/creature.cpp,thingtypemanager.h,local
src/client/creature.cpp,localplayer.h,local
src/client/creature.cpp,map.h,local
src/client/creature.cpp,tile.h,local
src/client/creature.cpp,item.h,local
src/client/creature.cpp,game.h,local
src/client/creature.cpp,effect.h,local
src/client/creature.cpp,luavaluecasts_client.h,local
src/client/creature.cpp,lightview.h,local
src/client/creature.cpp,healthbars.h,local
src/client/creature.cpp,framework/graphics/graphics.h,system
src/client/creature.cpp,framework/core/eventdispatcher.h,system
src/client/creature.cpp,framework/core/clock.h,system
src/client/creature.cpp,framework/core/graphicalapplication.h,system
src/client/creature.cpp,framework/graphics/paintershaderprogram.h,system
src/client/creature.cpp,framework/graphics/texturemanager.h,system
src/client/creature.cpp,framework/graphics/framebuffermanager.h,system
src/client/creature.cpp,spritemanager.h,local
src/client/creature.cpp,framework/util/stats.h,system
src/client/creature.cpp,framework/util/extras.h,system
src/client/creature.h,thing.h,local
src/client/creature.h,outfit.h,local
src/client/creature.h,tile.h,local
src/client/creature.h,mapview.h,local
src/client/creature.h,framework/core/scheduledevent.h,system
src/client/creature.h,framework/core/declarations.h,system
src/client/creature.h,framework/core/timer.h,system
src/client/creature.h,framework/graphics/fontmanager.h,system
src/client/creature.h,framework/graphics/cachedtext.h,system
src/client/creature.h,framework/ui/uiwidget.h,system
src/client/creatures.cpp,creatures.h,local
src/client/creatures.cpp,creature.h,local
src/client/creatures.cpp,map.h,local
src/client/creatures.cpp,framework/xml/tinyxml.h,system
src/client/creatures.cpp,framework/core/resourcemanager.h,system
src/client/creatures.h,declarations.h,local
src/client/creatures.h,framework/luaengine/luaobject.h,system
src/client/creatures.h,outfit.h,local
