doc_id,source_path,source_sha,chunk_id,chunk_index,chunk_count,doc_class,language,content,last_sync_iso
otui-ui-df1e40dd1006,game_battle/battlebutton.otui,3ead5ec,otui-ui-df1e40dd1006_0,0,6,ui,otui,"# game_battle/battlebutton.otui
",2025-10-09T10:29:14Z
otui-ui-df1e40dd1006,game_battle/battlebutton.otui,3ead5ec,otui-ui-df1e40dd1006_1,1,6,ui,otui,"## Overview

Plik OTUI definiujący interfejs użytkownika dla battlebutton.
",2025-10-09T10:29:14Z
otui-ui-df1e40dd1006,game_battle/battlebutton.otui,3ead5ec,otui-ui-df1e40dd1006_2,2,6,ui,otui,"## Widgets

| ID | Class | Parent | Key Properties |
|----|-------|--------|----------------|
| `BattleButton` | `BattleButton` | `CreatureButton` |  |
",2025-10-09T10:29:14Z
otui-ui-df1e40dd1006,game_battle/battlebutton.otui,3ead5ec,otui-ui-df1e40dd1006_3,3,6,ui,otui,"## Widget Details
",2025-10-09T10:29:14Z
otui-ui-df1e40dd1006,game_battle/battlebutton.otui,3ead5ec,otui-ui-df1e40dd1006_4,4,6,ui,otui,"### `BattleButton`

- **Klasa:** `BattleButton`
- **Rodzic:** `CreatureButton`
",2025-10-09T10:29:14Z
otui-ui-df1e40dd1006,game_battle/battlebutton.otui,3ead5ec,otui-ui-df1e40dd1006_5,5,6,ui,otui,"## Hierarchy Diagram

Zobacz: [../diagrams/battlebutton.mmd](../diagrams/battlebutton.mmd)
",2025-10-09T10:29:14Z
otui-ui-f0b5a8f366fc,game_battle/battle.otui,3ead5ec,otui-ui-f0b5a8f366fc_0,0,11,ui,otui,"# game_battle/battle.otui
",2025-10-09T10:29:14Z
otui-ui-f0b5a8f366fc,game_battle/battle.otui,3ead5ec,otui-ui-f0b5a8f366fc_1,1,11,ui,otui,"## Overview

Plik OTUI definiujący interfejs użytkownika dla battle.
",2025-10-09T10:29:14Z
otui-ui-f0b5a8f366fc,game_battle/battle.otui,3ead5ec,otui-ui-f0b5a8f366fc_2,2,11,ui,otui,"## Widgets

| ID | Class | Parent | Key Properties |
|----|-------|--------|----------------|
| `BattleIcon` | `BattleIcon` | `UICheckBox` | size=20 20 |
| `BattlePlayers` | `BattlePlayers` | `BattleIcon` | image-source=/images/game/battle/battle_players |
| `BattleNPCs` | `BattleNPCs` | `BattleIcon` | image-source=/images/game/battle/battle_npcs |
| `BattleMonsters` | `BattleMonsters` | `BattleIcon` | image-source=/images/game/battle/battle_monsters |
| `BattleSkulls` | `BattleSkulls` | `Battle",2025-10-09T10:29:14Z
otui-ui-f0b5a8f366fc,game_battle/battle.otui,3ead5ec,otui-ui-f0b5a8f366fc_3,3,11,ui,otui,"
## Widget Details
",2025-10-09T10:29:14Z
otui-ui-f0b5a8f366fc,game_battle/battle.otui,3ead5ec,otui-ui-f0b5a8f366fc_4,4,11,ui,otui,"### `BattleIcon`

- **Klasa:** `BattleIcon`
- **Rodzic:** `UICheckBox`
- **Właściwości:**
  - `size`: 20 20
  - `image-color`: #ffffff88
  - `image-rect`: 0 0 20 20
  - `color`: #cccccc
  - `image-clip`: 0 60 20 20
",2025-10-09T10:29:14Z
otui-ui-f0b5a8f366fc,game_battle/battle.otui,3ead5ec,otui-ui-f0b5a8f366fc_5,5,11,ui,otui,"
### `BattlePlayers`

- **Klasa:** `BattlePlayers`
- **Rodzic:** `BattleIcon`
- **Właściwości:**
  - `image-source`: /images/game/battle/battle_players
",2025-10-09T10:29:14Z
