from,to,status,reason
chapter_10_game_runtime_docs_export_kit_authoring_agent_ready.md,./sections/00_game_runtime_basics.md,BROKEN,File not found
chapter_10_game_runtime_docs_export_kit_authoring_agent_ready.md,./sections/01_introduction.md,BROKEN,File not found
chapter_10_game_runtime_docs_export_kit_authoring_agent_ready.md,./sections/02_game_runtime_model.md,BROKEN,File not found
chapter_10_game_runtime_docs_export_kit_authoring_agent_ready.md,./sections/03_collection_methods.md,BROKEN,File not found
chapter_10_game_runtime_docs_export_kit_authoring_agent_ready.md,./sections/04_quality_and_limits.md,BROKEN,File not found
chapter_10_game_runtime_docs_export_kit_authoring_agent_ready.md,./sections/05_how_to_read_stats.md,BROKEN,File not found
chapter_10_game_runtime_docs_export_kit_authoring_agent_ready.md,./stats/stats.md,BROKEN,File not found
chapter_10_game_runtime_docs_export_kit_authoring_agent_ready.md,./analysis/findings.md,BROKEN,File not found
chapter_10_game_runtime_docs_export_kit_authoring_agent_ready.md,./game_runtime.schema.json,BROKEN,File not found
chapter_10_game_runtime_docs_export_kit_authoring_agent_ready.md,./datasets/game_runtime.dataset.jsonl,BROKEN,File not found
chapter_10_game_runtime_docs_export_kit_authoring_agent_ready.md,./datasets/game_runtime.dataset.csv,BROKEN,File not found
chapter_10_game_runtime_docs_export_kit_authoring_agent_ready.md,./diagrams/game_runtime_flow.mmd,BROKEN,File not found
chapter_10_game_runtime_docs_export_kit_authoring_agent_ready.md,obj,BROKEN,File not found
chapter_05_assets_docs_export_kit_authoring_agent_ready.md,./sections/00_assets_basics.md,BROKEN,File not found
chapter_05_assets_docs_export_kit_authoring_agent_ready.md,./sections/01_introduction.md,BROKEN,File not found
chapter_05_assets_docs_export_kit_authoring_agent_ready.md,./sections/02_asset_model.md,BROKEN,File not found
chapter_05_assets_docs_export_kit_authoring_agent_ready.md,./sections/03_collection_methods.md,BROKEN,File not found
chapter_05_assets_docs_export_kit_authoring_agent_ready.md,./sections/04_quality_and_limits.md,BROKEN,File not found
chapter_05_assets_docs_export_kit_authoring_agent_ready.md,./sections/05_how_to_read_stats.md,BROKEN,File not found
chapter_05_assets_docs_export_kit_authoring_agent_ready.md,./stats/stats.md,BROKEN,File not found
chapter_05_assets_docs_export_kit_authoring_agent_ready.md,./analysis/findings.md,BROKEN,File not found
chapter_05_assets_docs_export_kit_authoring_agent_ready.md,./assets.schema.json,BROKEN,File not found
chapter_05_assets_docs_export_kit_authoring_agent_ready.md,./datasets/assets.dataset.jsonl,BROKEN,File not found
chapter_05_assets_docs_export_kit_authoring_agent_ready.md,./datasets/assets.dataset.csv,BROKEN,File not found
chapter_05_assets_docs_export_kit_authoring_agent_ready.md,./diagrams/assets_flow.mmd,BROKEN,File not found
chapter_04_ui_docs_export_kit_authoring_agent_ready.md,./sections/00_ui_basics.md,BROKEN,File not found
chapter_04_ui_docs_export_kit_authoring_agent_ready.md,./sections/01_introduction.md,BROKEN,File not found
chapter_04_ui_docs_export_kit_authoring_agent_ready.md,./sections/02_widget_model.md,BROKEN,File not found
chapter_04_ui_docs_export_kit_authoring_agent_ready.md,./sections/03_collection_methods.md,BROKEN,File not found
chapter_04_ui_docs_export_kit_authoring_agent_ready.md,./sections/04_quality_and_limits.md,BROKEN,File not found
chapter_04_ui_docs_export_kit_authoring_agent_ready.md,./sections/05_how_to_read_stats.md,BROKEN,File not found
chapter_04_ui_docs_export_kit_authoring_agent_ready.md,./stats/stats.md,BROKEN,File not found
chapter_04_ui_docs_export_kit_authoring_agent_ready.md,./analysis/findings.md,BROKEN,File not found
chapter_04_ui_docs_export_kit_authoring_agent_ready.md,./widget.schema.json,BROKEN,File not found
